RAA20150604201506034404031060000アーバンステージ水無月賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(FOUR-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                           アーバンステージ水無アーバンステアーバ0000E 140002000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000400000001200000008000000048000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161616202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,3),16,14,(4,12),5,(6,11),2,13,15,8,10,7,9                          401,3,16,14,4,(5,12),11,6,2,13,15,8,10,7,9                              00                                                                      00                                                                      0
RAA20150625201506244405030960000フォーチュネイトあじさい特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フォーチュネイトあじフォーチュネフォー0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001210101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,11,8,2,3,9,6,10,5,12                                                204,11,8,2,3,9,5,6,10,12                                                304,11,8,(3,5),9,12,(2,10),6                                            404,11,8,5,9,3,12,10,(2,6)                                              0
RAA20150625201506244405031160000帝王賞（中央交流）　Ｊｐｎ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TEIO SHO                                                                                                                                                                                                                                                                                                                                                                帝王賞（中央交流）　帝王賞（中央帝王賞0000A 140004000000000000000サラ系４歳上　　　　　　　　　　　　　　　　　　　　　　　　200000002400    0060000000210000001200000006000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,10,(1,6),9,7,11,12,3,4,2                                          208,5,(6,10),1,9,7,11,12,3,4,2                                          305,8,1,6,10,9,7,2,4,11,12,3                                            405,1,8,(6,9),10,7,2,4,11,12,3                                          0
RAA20150605201506044404041170000ムーンストーン賞　Ａ２Ｂ１一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ムーンストーン賞　Ａムーンストームーン0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0004600000013800000092000000552000003680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,(5,9),10,6,4,7,1,3                                                  302,5,9,10,1,4,7,3,6                                                    402,5,9,10,1,4,7,3,6                                                    00                                                                      0
RAA20150626201506254405041170000武蔵野オープン　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       武蔵野オープン　　　武蔵野オープ武蔵野0000E 130001000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　160000002400    0005400000016200000108000000648000004320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,8,7,4,3,6,2,9                                                     201,5,(7,8),4,3,6,2,9                                                   301,5,8,(4,7),(3,6),2,9                                                 401,5,8,7,4,6,3,2,9                                                     0
RAA20150608201506034404031160000東京ダービー（ＤＷ）（中央騎手騎乗）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKYO DERBY                                                                                                                                                                                                                                                                                                                                                             東京ダービー（ＤＷ）東京ダービー東京ダ0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　200000002400    0042000000147000000840000004200000021000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616162020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,3,11,13,4,6,(2,16),14,5,15,10,8,9,12                              201,7,3,11,13,4,6,(2,16),(5,14),15,(8,10),9,12                          30(3,7,11),13,4,6,16,(2,10),14,(1,15),(5,8),12,9                        407,(3,11),13,4,6,16,2,10,14,8,15,5,9,12,1                              0
RAA20150624201506234405021150000優駿スプリント　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　YUSHUN SPRINT                                                                                                                                                                                                                                                                                                                                                           優駿スプリント　　　優駿スプリン優駿ス0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0020000000070000000400000002000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,(8,10),(3,16),(1,4,15),12,6,9,14,11,13,2,7                          405,8,10,(1,3),4,15,6,16,12,9,(11,14),13,2,7                            00                                                                      00                                                                      0
RAA20150606201506054404051280000てんびん座特別　Ｃ１三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          てんびん座特別　Ｃ１てんびん座特てんび0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0002100000006300000042000000252000001680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009093020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000309,2,10,(4,8),7,3,5,1                                                  409,2,10,4,3,7,8,(1,5)                                                  00                                                                      00                                                                      0
RAA20150602201506014404010840000サラ系一般　Ｃ２五六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２五六サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,(2,4),8,5,6,7,9,(3,10),11                                           302,1,8,4,5,(6,9),7,10,(3,11)                                           402,(1,4),8,(5,9),7,6,10,3,11                                           00                                                                      0
RAA20150625201506244405031060000薄暑特別　Ｃ２二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          薄暑特別　Ｃ２二　　薄暑特別　Ｃ薄暑特0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201,3,8,15,13,(5,11),9,2,10,12,6,14,(4,7),16                            301,3,8,15,13,9,11,5,10,12,(6,14),2,7,4,16                              403,8,1,15,13,9,(5,11),10,12,14,2,6,7,4,16                              00                                                                      0
RAA20150605201506044404040470000サラ系一般　Ｃ３四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(5,10),11,(2,3,6),7,13,8,4,9,12                                     201,(5,10),11,2,3,6,7,13,8,4,12,9                                       305,10,11,6,1,7,3,13,8,2,12,4,9                                         40(5,10),11,6,7,1,3,13,(2,8,12),4,9                                     0
RAA20150623201506224405010540000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120002000000000000000４３万未満　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,14,(7,12),6,4,9,8,(2,10),3,11,5,13                                  401,12,14,7,6,4,2,8,(9,10,11),5,3,13                                    00                                                                      00                                                                      0
RAA20150626201506254405040270000サラ系一般　Ｃ３二三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３二三サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,11,13,2,5,10,9,(3,4,6,12),1,7                                       208,11,13,2,5,10,(6,9),4,12,3,1,7                                       30(8,11),13,5,2,10,6,9,4,1,3,7,12                                       408,11,13,5,2,10,6,9,4,1,3,7,12                                         0
RAA20150624201506234405020950000サラ系一般　Ｃ２六七　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２六七サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    00010000000030000000180000001200000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013131310100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,12,2,13,7,3,8,4,6,5,9,1                                         2010,11,12,(2,13),7,3,8,(4,6),5,1,9                                     3010,11,12,(2,7,9,13),8,6,(4,5),3,1                                     4010,11,12,2,(9,13),7,8,6,4,5,1,3                                       0
