RAA20150716201507153007020760000デネブ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               デネブ特別（中央交流デネブ特別（デネブ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    000050000000100000000750000005000000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,6),7,1,2,4,5                                                       20(3,6),7,1,2,4,5                                                       30(6,7),3,(1,2),5,4                                                     40(6,7),5,2,1,3,4                                                       0
RAA20150702201507013006020760000アタックＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタックＣｈ（中央認アタックＣｈアタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000080000000160000001200000008000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090808303000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(5,6,7),2,4,8,1,3                                                     40(5,6),(2,7),8,4,1,3                                                   00                                                                      00                                                                      0
RAA20150723201507223007050760000アルファルド特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アルファルド特別（中アルファルドアルフ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000080000000160000001200000008000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909203000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(3,7),9,(2,5),(1,6,8),4                                               403,(7,9),6,(1,2,5),8,4                                                 00                                                                      00                                                                      0
RAA20150730201507293008020760000スピカ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               スピカ特別（中央交流スピカ特別（スピカ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000050000000100000000750000005000000025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707102000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,5,6,7),1,2,3                                                       40(4,7),(5,6),1,2,3                                                     00                                                                      00                                                                      0
RAA20150715201507143007011050000輝け日高胆振農業特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          輝け日高胆振農業特別輝け日高胆振輝け日0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    00003500000007000000053000000350000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121210100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003012,7,8,(1,2,9),11,(4,10),5,(3,6)                                      4012,7,(1,8),2,(5,9),(4,11),(3,6,10)                                    00                                                                      00                                                                      0
RAA20150709201507083006040360000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,5,(1,4),2,6,7,(8,9)                                                 403,5,(1,4),2,6,9,7,8                                                   00                                                                      00                                                                      0
RAA20150709201507083006041160000ブラックタイド賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ブラックタイド賞　　ブラックタイブラッ0000E 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    000065000000130000000980000006500000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080707101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,5),7,2,6,8,1                                                       40(4,5),7,(2,6),1,8                                                     00                                                                      00                                                                      0
RAA20150710201507093006050470000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,9,2,(8,10),7,6,5,3                                                  40(4,9),(2,8),10,6,7,5,3                                                00                                                                      00                                                                      0
RAA20150710201507093006050770000星雲賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SEIUN SHO                                                                                                                                                                                                                                                                                                                                                               星雲賞　　　　　　　星雲賞　　　星雲賞0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　160000002400    0002500000005000000037500000250000001250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,12,6,8,11,4,9,(1,10),7,5,2                                          203,(6,12),8,(4,11),9,(1,10),7,5,2                                      303,8,11,(6,12),(4,7,10),9,1,5,2                                        40(8,11),(3,7),10,4,9,6,1,5,12,2                                        0
RAA20150715201507143007010650000ウィナーズＣｈ３（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ウィナーズＣｈ３（中ウィナーズＣウィナ0000E 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    000200000000400000003000000020000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(3,6),5,(1,7),2,4,8                                                   20(3,6),(1,2,5),7,4,8                                                   30(3,6),(2,7),5,1,4,8                                                   40(2,6),3,7,(1,4,5),8                                                   0
RAA20150722201507213007040650000Ａｉｂａ苫小牧祭特別　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          Ａｉｂａ苫小牧祭特別Ａｉｂａ苫小Ａｉｂ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,6,7,2,(3,8),4                                                     201,5,6,2,(3,7),8,4                                                     301,(5,6),(3,7),2,8,4                                                   401,3,7,6,(2,5),8,4                                                     0
