RAA20151008201510074814021160000名古屋ＣＣマース賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣＣマース賞（名古屋ＣＣマ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000410000001020000004100000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,7,4,5,8,2,3,1                                                     206,9,4,5,7,8,2,3,1                                                     306,9,5,4,7,2,8,1,3                                                     409,6,5,4,7,2,8,1,3                                                     0
RAA20151008201510074814020560000２歳特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 ２歳特別　１　　　　２歳特別　１２歳特0000E 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000550000001260000005500000038000000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,3,6,2,4,10,7,9,8                                                  201,3,2,5,4,6,10,7,8,9                                                  301,3,7,2,6,4,5,10,8,9                                                  401,7,3,2,6,4,10,5,8,9                                                  0
RAA20151023201510224815031170000ゴールドウィング賞（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　GOLD WING SHO                                                                                                                                                                                                                                                                                                                                                           ゴールドウィング賞（ゴールドウィゴール0000D 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0002500000006250000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,3,9,5,7,1,11,2,8,10                                               204,6,3,9,7,5,11,1,2,8,10                                               304,6,3,9,7,11,5,2,8,1,10                                               404,7,6,3,11,9,8,5,10,2,1                                               0
RAA20151010201510094814041080000しずおか菊花特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          しずおか菊花特別　Ｃしずおか菊花しずお0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,4,1,6,7,8,9,5                                                     202,3,1,4,7,6,8,5,9                                                     302,3,1,6,4,7,8,9,5                                                     402,3,6,1,7,8,9,4,5                                                     0
RAA20151021201510204815010550000サラ３歳４組　４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳４組　４　　サラ３歳４組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,6,5,1,4,2,3,8                                                     209,7,6,5,4,3,1,2,8                                                     309,7,6,4,5,3,1,2,8                                                     409,7,6,5,3,4,2,1,8                                                     0
RAA20151021201510204815011150000天秤座特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          天秤座特別　Ｂ１　　天秤座特別　天秤座0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000300000000540000002100000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,11,1,10,4,6,5,9,7,3                                               208,11,2,10,4,6,1,9,5,7,3                                               308,11,10,4,6,2,5,7,1,9,3                                               408,11,10,6,5,4,2,7,1,9,3                                               0
RAA20151021201510204815010650000サラ３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳３組　３　　サラ３歳３組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,1,9,6,5,8,4,2,3                                                     207,1,9,6,5,4,8,2,3                                                     307,1,9,5,6,4,8,2,3                                                     401,7,9,5,4,6,8,2,3                                                     0
RAA20151021201510204815010950000あけび賞　Ａ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     あけび賞　Ａ４　　　あけび賞　Ａあけび0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000215000000390000001500000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,1,7,8,6,5,4                                                       202,3,1,7,6,8,5,4                                                       303,7,1,2,6,4,8,5                                                       403,7,1,6,5,2,4,8                                                       0
RAA20151009201510084814031070000くつわむし賞　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     くつわむし賞　Ｂ５　くつわむし賞くつわ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000170000000300000001200000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,6,8,2,3,4,9,5                                                     201,7,8,6,2,3,4,9,5                                                     301,7,8,2,3,4,9,6,5                                                     401,7,8,2,4,9,3,6,5                                                     0
RAA20151023201510224815031070000ヒマラヤ杉賞　Ｂ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ヒマラヤ杉賞　Ｂ５　ヒマラヤ杉賞ヒマラ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000300000001200000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,2,10,6,4,1,5,7,9,8                                                  203,10,2,6,4,5,1,8,7,9                                                  303,10,2,4,6,1,5,8,9,7                                                  403,10,4,2,6,5,1,8,7,9                                                  0
