RAA20151112201511114713021060000安房峠特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          安房峠特別（中央交流安房峠特別（安房峠0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000410000001030000004100000025000000170000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,10,9,2,7,6,8,1,5                                                  203,4,10,9,2,7,6,8,1,5                                                  303,7,9,4,2,6,10,8,1,5                                                  403,7,9,6,4,2,10,8,1,5                                                  0
RAA20151126201511254714021060000古太尽特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          古太尽特別（中央交流古太尽特別（古太尽0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00004100000010300000041000000250000001700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101030100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,8,3,1,9,5,7,6,4,2                                                  2010,8,3,1,9,5,7,6,4,2                                                  3010,8,3,1,5,7,9,6,4,2                                                  408,10,1,3,5,7,6,9,4,2                                                  0
RAA20151124201511104713010950000ラブミーチャン記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　LOVE MICHAN KINEN                                                                                                                                                                                                                                                                                                                                                       ラブミーチャン記念　ラブミーチャラブミ0000D 110002000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0002000000005000000022000000120000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,7,10,1,3,9,5,4,8                                                  202,6,7,10,3,1,9,5,4,8                                                  302,(3,6),1,5,10,9,7,8,4                                                40(2,3,5),1,6,9,8,10,7,4                                                0
RAA20151113201511124713030570000サラ系Ｃ５組　Ｃ５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ５組　Ｃ５　サラ系Ｃ５組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,7,2,8,6,9,4,5                                                     201,3,7,2,8,6,9,4,5                                                     301,3,8,7,2,4,6,9,5                                                     401,3,8,7,4,2,6,9,5                                                     0
RAA20151114201511134713040480000サラ系Ｃ１７組　Ｃ１７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１７組　Ｃ１サラ系Ｃ１７サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,3,5,4,7,2,9,1                                                     206,8,3,5,4,7,2,9,1                                                     306,8,3,(5,7),4,2,9,1                                                   406,(7,8),3,5,4,2,9,1                                                   0
RAA20151127201511264714031070000笠松ＧＰ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KASAMATSU GRAND PRIX                                                                                                                                                                                                                                                                                                                                                    笠松ＧＰ　　　　　　笠松ＧＰ　　笠松Ｇ0000D 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　140000002400    0010000000025000000110000000600000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,10,7,8,4,1,2,5                                                    206,9,7,10,8,4,1,5,2                                                    309,10,6,7,4,8,1,5,2                                                    409,10,4,1,7,8,(2,5,6)                                                  0
RAA20151127201511264714030470000４４１Ｂｉｒｔｈｄａｙ記念　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ４４１Ｂｉｒｔｈｄａ４４１Ｂｉｒ４４１0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,8,9,5,1,7,2,6                                                     203,4,8,5,9,1,2,7,6                                                     303,4,5,8,9,1,2,6,7                                                     403,4,9,5,8,1,2,6,7                                                     0
RAA20151128201511274714041280000雷鳥特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          雷鳥特別　Ｃ１　　　雷鳥特別　Ｃ雷鳥特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000440000002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,5,9,3,6,2,8,10,4,1                                                  207,5,9,3,6,2,8,4,1,10                                                  30(5,7),3,6,9,4,2,8,1,10                                                405,3,7,(4,6),9,8,2,10,1                                                0
RAA20151111201511104713010750000サラ系２歳１組特選　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            サラ系２歳１組特選　サラ系２歳１サラ系0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000390000000780000003900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,3,1,6,4,2                                                         205,7,1,3,4,6,2                                                         305,7,1,3,4,6,2                                                         405,7,1,3,4,6,2                                                         0
RAA20151113201511124713030270000サラ系Ｃ１９組　Ｃ１９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１９組　Ｃ１サラ系Ｃ１９サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,5,3,7,2,1,4                                                     206,8,9,3,5,7,2,4,1                                                     30(6,8),9,3,7,5,2,1,4                                                   408,9,3,6,5,2,7,4,1                                                     0
RAA20151112201511114713020660000サラ系Ｃ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ８組　Ｃ８　サラ系Ｃ８組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000320000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,9,3,6,8,2,1,5                                                     204,7,9,3,6,2,8,1,5                                                     304,7,3,9,6,1,2,8,5                                                     40(4,7),9,3,6,2,1,8,5                                                   0
RAA20151114201511134713040780000サラ系Ｃ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ１０組　Ｃ１サラ系Ｃ１０サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000160000000320000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,1,9,5,4,7,6,2                                                     203,8,1,5,9,6,4,7,2                                                     308,1,3,9,5,6,4,7,2                                                     40(1,8),(3,9),6,5,4,7,2                                                 0
RAA20151127201511264714030770000笠松応援記念　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     笠松応援記念　Ｃ１０笠松応援記念笠松応0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000160000000320000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,9,1,7,4,6,5,2                                                     203,8,9,1,7,4,6,2,5                                                     303,8,9,1,4,2,7,6,5                                                     403,(8,9),1,2,4,5,7,6                                                   0
