RAA20160203201602024823020450000サラ３歳２組　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳２組　２　　サラ３歳２組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,7,5,1,6,8,3,2,4                                                     209,7,1,5,8,3,2,6,4                                                     309,1,7,5,8,3,6,2,4                                                     409,1,8,5,7,3,6,2,4                                                     0
RAA20160208201602054823050980000梅桜賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　BAIO SHO                                                                                                                                                                                                                                                                                                                                                                梅桜賞　　　　　　　梅桜賞　　　梅桜賞0000D 120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0002000000004600000016000000100000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,5,12,7,2,10,1,4,9,11,8                                            203,6,5,12,7,2,10,1,4,9,8,11                                            303,7,6,5,2,10,1,4,9,12,8,11                                            403,7,2,5,1,6,10,4,8,9,11,12                                            0
RAA20160217201602164824021050000名古屋ＣＣアップル賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣアップル賞名古屋ＣＣア名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000370000000920000003700000022000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,1,8,7,6,4,10,2,5                                                  203,9,8,1,7,6,2,5,4,10                                                  303,9,8,1,7,6,2,5,4,10                                                  403,9,7,8,1,5,2,6,4,10                                                  0
RAA20160206201602054823050180000サラＣ６組　Ｃ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ６組　Ｃ６　　サラＣ６組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000290000001100000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,2,4,8,7,6,1,5,3                                                     209,2,4,8,7,6,1,3,5                                                     309,2,4,8,7,1,6,5,3                                                     409,4,7,8,2,1,5,3,6                                                     0
RAA20160206201602054823050480000金シャチエンジェルズ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               金シャチエンジェルズ金シャチエン金シャ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000390000000700000002700000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,3,8,4,6,2,7                                                       201,5,8,3,4,6,2,7                                                       301,5,3,8,4,6,7,2                                                       401,5,3,6,8,4,7,2                                                       0
RAA20160203201602024823020350000サラＣ２１組　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２１組　Ｃ２１サラＣ２１組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000290000001100000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,9,2,3,1,5,4,6                                                     207,8,9,2,3,1,5,4,6                                                     307,8,9,2,3,1,5,4,6                                                     407,8,2,9,3,1,5,4,6                                                     0
RAA20160205201602044823040870000ブランケット賞　Ｂ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ブランケット賞　Ｂ７ブランケットブラン0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000170000000300000001200000009000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,4,9,3,1,6,2,5                                                     208,7,4,9,1,6,3,2,5                                                     308,6,1,7,9,4,3,2,5                                                     408,6,1,7,9,4,2,3,5                                                     0
RAA20160203201602024823020950000水瓶座特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          水瓶座特別　Ｂ１　　水瓶座特別　水瓶座0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000300000000540000002100000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,9,5,1,3,7,10,6,8,4                                                  202,9,1,5,3,7,6,10,8,4                                                  302,5,9,7,3,1,10,6,8,4                                                  402,5,10,3,7,6,9,8,4,1                                                  0
RAA20160217201602164824020950000立春特別　Ｂ２ａ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          立春特別　Ｂ２ａ　　立春特別　Ｂ立春特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000400000001500000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,8,3,5,2,7,1,9                                                     204,6,8,3,5,2,7,1,9                                                     304,8,6,7,5,3,2,1,9                                                     404,8,7,3,5,6,2,1,9                                                     0
RAA20160217201602164824020150000サラ３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳３組　３　　サラ３歳３組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,3,4,7,1,5,6                                                       208,2,3,4,7,1,5,6                                                       308,3,2,4,7,1,5,6                                                       408,3,2,4,7,1,5,6                                                       0
RAA20160301201602294825010440000サラ３歳３組　３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳３組　３　　サラ３歳３組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,9,2,1,5,3,4,7,10                                                  206,8,2,9,1,3,5,4,7,10                                                  306,8,2,9,1,5,7,3,4,10                                                  406,9,2,8,5,1,3,7,4,10                                                  0
RAA20160219201602184824040370000サラ３歳６組　６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳６組　６　　サラ３歳６組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000410000001600000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,2,4,8,9,6,1,5,3                                                     207,2,8,4,9,1,6,3,5                                                     307,2,8,4,9,1,6,3,5                                                     407,2,8,1,4,9,3,6,5                                                     0
RAA20160203201602024823020550000サラＣ２０組　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２０組　Ｃ２０サラＣ２０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000290000001100000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,3,8,1,7,5,6,2,4                                                     209,8,3,7,1,5,2,4,6                                                     309,3,7,8,5,1,2,6,4                                                     409,3,7,8,5,1,2,4,6                                                     0
RAA20160204201602034823030860000ハボタン特別　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ハボタン特別　Ｃ１４ハボタン特別ハボタ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002000000003600000014000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101010200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,4,9,6,1,8,2,7,3,5                                                  2010,4,9,1,6,8,2,7,3,5                                                  3010,4,9,6,1,2,8,7,3,5                                                  4010,4,2,6,1,9,5,8,7,3                                                  0
RAA20160218201602174824030360000サラＣ１４組　Ｃ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１４組　Ｃ１４サラＣ１４組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000160000000290000001100000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,7,8,4,3,2,1                                                       205,6,7,8,4,3,2,1                                                       305,8,7,6,3,4,2,1                                                       405,4,8,3,6,2,7,1                                                       0
