RAA20160504201605034803011150000かきつばた記念（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KAKITSUBATA KINEN                                                                                                                                                                                                                                                                                                                                                       かきつばた記念（中央かきつばた記かきつ0000C 140002000000000000000サラ系４歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　140000002400    0021000000054600000273000001260000010500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,2,4,3,7,9,6,10,8,1                                                  205,7,4,2,3,9,6,10,8,1                                                  305,7,2,3,4,9,6,10,8,1                                                  405,7,3,9,4,2,10,6,8,1                                                  0
RAA20160506201605044803021060000駿蹄賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SHUNTEI SHO                                                                                                                                                                                                                                                                                                                                                             駿蹄賞　　　　　　　駿蹄賞　　　駿蹄賞0000D 120004000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　180000002400    0001500000003450000012000000075000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,11,8,1,6,5,2,7,4,10,3                                               209,11,8,1,6,5,2,7,10,3,4                                               309,11,8,1,5,2,6,3,7,10,4                                               408,11,9,1,2,6,5,7,3,10,4                                               0
RAA20160519201605184804021160000名古屋ＣＣメロン賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               名古屋ＣＣメロン賞（名古屋ＣＣメ名古屋0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000001000000004000000024000000160000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,8,9,10,4,6,7,1,3,5                                                  202,8,9,4,10,6,1,7,3,5                                                  302,8,9,4,10,6,1,7,3,5                                                  402,8,10,4,(6,9),7,1,3,5                                                0
RAA20160525201605244805010950000かるがも特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               かるがも特別　１　　かるがも特別かるが0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,7,1,9,6,4,3,2                                                     208,5,7,1,9,6,2,3,4                                                     308,5,(7,9),(1,2),3,6,4                                                 408,5,(1,9),(4,7),3,2,6                                                 0
RAA20160506201605054803031170000ＡＧＩ名古屋城Ｃ　Ｂ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ＡＧＩ名古屋城Ｃ　ＢＡＧＩ名古屋ＡＧＩ0000E 130004000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000800000001840000006400000040000000320000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,7,12,8,11,4,3,2,10,9,1,6                                            205,7,12,8,11,4,2,3,10,9,1,6                                            305,12,7,8,4,11,2,10,3,6,1,9                                            405,12,6,8,4,2,3,10,1,11,9,7                                            0
RAA20160518201605174804011050000うしかい座特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          うしかい座特別　Ｂ１うしかい座特うしか0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,5,8,7,1,3,6,4,2                                                  209,10,5,7,8,3,1,6,4,2                                                  30(7,9,10),3,5,8,1,6,4,2                                                407,9,3,8,10,5,4,6,1,2                                                  0
RAA20160518201605174804010350000サラＣ２０組　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ２０組　Ｃ２０サラＣ２０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,6,4,7,8,2,3                                                       209,6,4,5,7,8,3,2                                                       309,6,4,5,7,8,2,3                                                       409,6,4,7,5,8,2,3                                                       0
RAA20160506201605054803031070000おおぐま座特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          おおぐま座特別　Ｂ１おおぐま座特おおぐ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,10,2,1,5,4,7,6,3                                                  209,8,10,2,1,5,4,7,3,6                                                  30(8,9),10,2,4,1,5,3,6,7                                                40(8,9,10),4,2,6,5,1,3,7                                                0
RAA20160525201605244805011150000ふたご座特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ふたご座特別　Ｂ１　ふたご座特別ふたご0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000350000000700000003500000021000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,6,8,5,9,7,1,4                                                     202,3,8,6,5,9,7,1,4                                                     302,3,6,8,(5,9),(1,7),4                                                 402,6,5,8,(3,7,9),1,4                                                   0
RAA20160505201605044803020660000３歳キング　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ３歳キング　　　　　３歳キング　３歳キ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,6,4,5,9,8,1,3                                                     202,7,6,4,5,8,9,1,3                                                     302,7,6,4,8,5,1,3,9                                                     402,7,4,8,3,1,9,5,6                                                     0
RAA20160518201605174804010950000大鷲特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               大鷲特別　１　　　　大鷲特別　１大鷲特0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000000900000004500000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,6,5,7,2,3,8                                                       201,4,6,5,7,2,3,8                                                       301,4,5,6,2,7,3,8                                                       401,5,4,6,2,3,7,8                                                       0
RAA20160506201605054803030270000故グレン・ドーマン博士追悼記念　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          故グレン・ドーマン博故グレン・ド故グレ0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,10,1,8,2,6,9,4,5                                                  203,7,10,1,8,2,6,4,9,5                                                  303,7,10,8,1,(2,6),9,4,5                                                403,7,8,10,1,2,6,9,4,5                                                  0
RAA20160520201605194804030570000サラ３歳５組　５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳５組　５　　サラ３歳５組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,3,6,1,5,2,4                                                       208,7,3,6,1,5,2,4                                                       308,(1,7),3,6,5,2,4                                                     40(1,8),7,3,6,5,2,4                                                     0
