RAA20161005201610044614041150000白山大賞典（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HAKUSAN DAISHOTEN                                                                                                                                                                                                                                                                                                                                                       白山大賞典（中央交流白山大賞典（白山大0000C 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　210000002400    0021000000048300000252000001890000012600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,12,5,8,11,2,10,3,7,6,4,1                                            209,12,(5,8),(2,11),(3,6,10),7,1,4                                      309,12,(5,8),11,2,6,3,10,7,1,4                                          409,12,8,5,2,11,(3,6),(7,10),(1,4)                                      0
RAA20161026201610254616021050000加賀白山賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          加賀白山賞（中央交流加賀白山賞（加賀白0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000080000000160000000720000005600000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(9,10),11,4,8,1,5,7,2,6,3                                             209,10,11,4,8,1,5,7,2,3,6                                               309,10,11,4,1,8,5,2,3,7,6                                               409,10,11,1,4,5,2,8,6,3,7                                               0
RAA20161010201610094615010220000サラ系一般　Ｃ２１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１３サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,8,3,(1,4),7,9,5                                                   202,6,8,1,3,4,7,9,5                                                     302,6,(1,8),(3,4),7,9,5                                                 406,2,8,1,4,3,7,(5,9)                                                   0
RAA20161012201610114615020750000酒・街・人・食展特別　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          酒・街・人・食展特別酒・街・人・酒・街0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000200000000400000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,1,(4,9),3,2,5,6,8                                                207,10,9,1,4,3,5,2,8,6                                                  307,10,9,(1,4),3,5,8,2,6                                                40(7,10),1,9,5,3,4,8,2,6                                                0
RAA20161024201610234616010620000小麦記念　Ｃ２７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     小麦記念　Ｃ２７　　小麦記念　Ｃ小麦記0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    00002000000004000000018000000140000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111120100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,7,4,2,9,6,1,8,10,3,5                                               2011,7,2,4,6,9,1,8,10,3,5                                               3011,7,2,6,9,4,1,(8,10),3,5                                             4011,7,(2,6),9,4,1,8,10,3,5                                             0
RAA20161026201610254616021150000新冠産駒杯　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                               新冠産駒杯　　　　　新冠産駒杯　新冠産0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00008000000016000000072000000560000003200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,7,(2,6),10,(1,9),8,4,5,3                                           2011,7,(2,6),1,10,8,9,4,5,3                                             3011,7,(2,6),1,10,8,4,9,5,3                                             407,(2,11),6,4,1,8,5,9,10,3                                             0
RAA20161003201610024614031120000サラ系一般　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１５　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000210000000420000001800000014000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,10,5,4,(1,9),(3,7),8                                              202,(6,10),4,5,1,9,3,7,8                                                302,6,10,1,(4,5),9,3,7,8                                                402,6,10,4,1,9,3,5,7,8                                                  0
RAA20161019201610184615041250000ポイント・ツイてる！楽天競馬賞　Ｂ２５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ポイント・ツイてる！ポイント・ツポイン0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000230000000460000002000000016000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,4,10,(2,11),5,(1,8),3,7,9                                           206,4,(2,10),11,1,5,8,3,(7,9)                                           306,4,11,10,2,1,5,8,9,7,3                                               406,4,2,11,1,5,10,8,9,7,3                                               0
RAA20161024201610234616010120000サラ系一般　Ｃ２１２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１２サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002000000004000000018000000140000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,9,(2,11),3,1,5,7,4,6,8                                             2010,9,11,2,3,5,7,1,4,6,8                                               30(9,10,11),3,2,(5,7),(1,4),6,8                                         409,3,(7,11),2,5,10,(1,4),6,8                                           0
RAA20161010201610094615010820000池ノ内家喜寿記念　Ｂ１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     池ノ内家喜寿記念　Ｂ池ノ内家喜寿池ノ内0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000270000000540000002400000018000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,8,10,9,3,(5,11),2,7,6                                             201,4,8,10,9,11,3,(2,5),7,6                                             301,4,8,10,9,(2,5,11),3,7,6                                             401,4,8,9,10,(2,3),11,5,(6,7)                                           0
RAA20161012201610114615021050000能と歌舞伎賞　Ｂ１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     能と歌舞伎賞　Ｂ１４能と歌舞伎賞能と歌0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    00002700000005400000024000000180000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121220200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,5,10,9,(7,8),1,4,11,2,3,6                                          2012,5,10,8,(7,9),1,4,2,3,11,6                                          3012,10,1,5,(7,8),(2,9),4,3,6,11                                        4012,8,10,1,2,7,5,9,3,4,6,11                                            0
RAA20161024201610234616010820000高岡味処なおちゃん記念　Ｂ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     高岡味処なおちゃん記高岡味処なお高岡味0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000270000000540000002400000018000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,(6,9),(2,11),5,8,4,7,10                                           201,3,6,9,11,5,(2,8),7,4,10                                             30(1,3),6,(2,9),5,11,(4,7,8),10                                         40(1,3),2,6,(5,9),4,11,7,10,8                                           0
