RAA20161201201611304414041060000アーバンステージ霜月賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アーバンステージ霜月アーバンステアーバ0000E 130002000000000000000サラ系３歳上　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0004300000017200000107500000645000004300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,9,10,3,6,16,13,1,12,8,14,11,15,5,2                                204,7,9,(3,10),13,(1,6),16,12,8,(11,14),15,5,2                          30(4,9),10,7,6,13,3,12,16,1,(8,14),15,11,2,5                            404,9,10,6,3,12,13,14,8,1,15,11,7,5,2,16                                0
RAA20161116201611154413021150000インタラクションＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP OP)                                                                                                                                                                                                                                                                                                                                       インタラクションＣ　インタラクシインタ0000E 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　120000002400    0010000000040000000250000001500000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001614142040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,3,7,5,16,(6,13),(10,14),8,9,15,11,12                                402,3,5,7,13,6,8,16,10,(9,15),12,14,11                                  00                                                                      00                                                                      0
RAA20161117201611164413031160000ハイセイコー記念　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HAISEIKO KINEN                                                                                                                                                                                                                                                                                                                                                          ハイセイコー記念　　ハイセイコーハイセ0000D 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    00180000000630000003600000018000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016161620300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001014,(7,16),(8,13),10,1,2,11,5,(4,15),6,9,12,3                          2014,16,7,(8,13),1,(10,11),2,5,15,4,6,9,12,3                            3014,16,13,11,8,7,2,1,(5,10),(6,15),4,9,12,3                            4014,16,13,11,8,2,(1,7),5,(6,10),15,4,(3,9),12                          0
RAA20161115201611144413010940000サラ系一般　Ｃ１八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１八九サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001500000006000000037500000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414143040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,13,12,14,8,5,4,2,3,6,1,7,11,10                                      209,12,13,14,8,4,5,2,3,6,1,(7,11),10                                    3012,(9,13),14,4,8,5,2,3,(6,7),11,10,1                                  40(9,12),14,13,4,5,8,(2,3),7,6,10,11,1                                  0
RAA20161119201611184413050480000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120002000000000000000１５３万上　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001200000004800000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,13,5,1,12,11,9,3,8,4,10,7                                         202,6,(5,13),1,(9,12),11,3,(4,8),10,7                                   30(2,4),13,6,1,3,5,12,9,8,11,10,7                                       404,2,13,6,1,3,9,(10,12),5,8,11,7                                       0
RAA20161129201611284414020640000サラ系一般　Ｃ２七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000004000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,6,(2,7),4,9,(3,8),1                                                 205,6,2,7,4,9,3,1,8                                                     30(5,6),2,7,1,4,9,3,8                                                   405,6,1,(2,7,9),4,3,8                                                   0
RAA20161118201611174413040970000サラ系一般　Ｃ２１３１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１３サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0001000000004000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,1,9,5,7,2,3,10,6                                                  204,8,1,9,(5,7),2,3,6,10                                                304,9,8,2,7,5,6,3,1,10                                                  404,(8,9),2,7,5,6,10,3,1                                                0
RAA20161129201611284414020540000サラ系一般　Ｃ２七八九　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２七八サラ系一般　サラ系0000  000002000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000004000000025000000150000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206,12,1,5,7,8,2,11,13,(3,9),10,4                                       306,(7,12),5,8,10,1,(2,11),(4,13),9,3                                   406,7,12,10,5,(2,13),1,8,11,4,9,3                                       00                                                                      0
RAA20161115201611144413011040000うさぎ座特別　Ｃ１二　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          うさぎ座特別　Ｃ１二うさぎ座特別うさぎ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002300000009200000057500000345000002300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313133040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205,7,3,10,(6,8),1,9,2,4,13,11,12                                       305,7,10,3,8,13,6,9,4,(1,11),2,12                                       405,7,10,(3,8),13,6,9,4,1,11,(2,12)                                     00                                                                      0
RAA20161116201611154413020950000はくたか特別　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 はくたか特別　　　　はくたか特別はくた0000E 110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002800000011200000070000000420000002800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313132040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000203,7,(8,10),4,11,9,6,12,2,5,13,1                                       303,10,8,(7,9),(4,11),6,2,12,5,13,1                                     403,10,9,6,(4,7,11),8,2,5,13,12,1                                       00                                                                      0
RAA20161118201611174413040470000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　　　　　サラ系３歳　サラ系0000  120002000000000000000１１５万上１５３万未満　　　　　　　　　　　　　　　　　　　150000002400    0001200000004800000030000000180000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,10,12,7,(4,9),2,(3,6),(8,11)                                      201,5,10,7,12,9,4,3,2,6,8,11                                            30(1,5),12,10,9,4,7,8,6,2,11,3                                          405,1,10,12,9,4,7,8,6,2,11,3                                            0
RAA20161115201611144413011240000ベテルギウス賞　Ｂ３三　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ベテルギウス賞　Ｂ３ベテルギウスベテル0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    000280000001120000007000000042000000280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000161616304000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(1,5),4,7,3,14,(9,10),16,15,12,(6,13),11,2,8                          405,1,4,7,3,(10,14),(15,16),9,13,(6,12),2,11,8                          00                                                                      00                                                                      0
