RAA20161117201611164817021160000名古屋ＣＣヴァルカン賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣＣヴァルカン名古屋ＣＣヴ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000500000001250000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,2,10,4,6,9,1,5,7,3                                                  208,2,(4,10),6,9,1,5,7,3                                                308,2,4,10,9,6,1,5,7,3                                                  404,8,9,6,1,5,10,2,3,7                                                  0
RAA20161103201611024816030460000サラ３歳９組　９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳９組　９　　サラ３歳９組サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,10,1,7,4,3,6,2,8                                                  205,9,10,1,7,4,3,6,2,8                                                  305,10,9,1,4,7,6,3,2,8                                                  405,10,1,4,7,6,(3,9),8,2                                                0
RAA20161201201611304818021160000名古屋ＣＣディアナ賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          名古屋ＣＣディアナ賞名古屋ＣＣデ名古屋0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000500000001250000005000000030000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,8,(2,10),7,6,4,5,9,3                                                201,8,2,10,7,(4,6),5,9,3                                                301,8,10,2,7,6,4,5,9,3                                                  401,8,10,7,2,6,4,5,9,3                                                  0
RAA20161102201611014816021050000ナルコユリ特別　Ｃ６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ナルコユリ特別　Ｃ６ナルコユリ特ナルコ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000440000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,1,8,6,2,9,5,4,3                                                     207,1,8,2,4,6,9,5,3                                                     307,1,2,4,8,6,5,9,3                                                     407,1,2,4,5,8,6,9,3                                                     0
RAA20161115201611144817010640000サラＣ１０組　Ｃ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１０組　Ｃ１０サラＣ１０組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,8,4,5,10,3,7,1,9                                                  202,6,4,8,3,10,5,7,1,9                                                  302,6,4,3,8,5,10,7,1,9                                                  402,6,3,4,5,7,(8,10),9,1                                                0
RAA20161129201611284818010540000ローズ倶楽部賞　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ローズ倶楽部賞　Ｃ２ローズ倶楽部ローズ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,9,2,3,1,5,4,8                                                     206,7,2,9,3,5,1,4,8                                                     306,7,3,2,9,5,1,4,8                                                     406,3,7,2,9,5,1,8,4                                                     0
RAA20161115201611144817010440000サラＣ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ７組　Ｃ７　　サラＣ７組　サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000340000001700000010000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,6,3,2,1,8,5                                                       204,7,3,6,2,1,8,5                                                       304,7,3,6,2,8,1,5                                                       404,3,6,7,2,8,1,5                                                       0
RAA20161201201611304818020660000円遊会競馬部創立記念　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     円遊会競馬部創立記念円遊会競馬部円遊会0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000190000000380000001900000011000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,5,10,1,11,(6,7,8),2,4                                             203,5,9,10,1,11,7,8,6,2,4                                               303,5,9,10,1,11,(7,8),2,6,4                                             403,5,10,9,1,11,7,2,8,6,4                                               0
RAA20161103201611024816030360000サラ３歳１０組　１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳１０組　１０サラ３歳１０サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,5,10,2,4,1,3,7                                                    206,8,5,10,2,4,(1,3),7                                                  306,8,5,10,2,4,3,1,7                                                    406,5,(2,8),3,10,4,1,7                                                  0
RAA20161103201611024816030260000サラ３歳１１組　１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ３歳１１組　１１サラ３歳１１サラ３0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000230000000460000002300000014000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,9,2,8,7,6,4,1,5                                                     203,9,(2,7),6,8,1,4,5                                                   303,9,7,2,6,1,8,4,5                                                     403,7,2,8,6,1,9,4,5                                                     0
RAA20161119201611184817041080000ツグミ特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ツグミ特別　Ｃ１　　ツグミ特別　ツグミ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,8,2,3,1,4,5                                                       206,7,8,2,3,1,5,4                                                       306,7,(2,8),(1,3),5,4                                                   40(6,7),2,1,5,8,3,4                                                     0
RAA20161129201611284818010940000氷雨特別　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          氷雨特別　Ｂ２　　　氷雨特別　Ｂ氷雨特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000500000002500000015000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,4,1,7,8,2,5,3                                                       206,4,1,7,8,2,5,3                                                       306,4,1,8,7,2,5,3                                                       406,1,4,2,8,7,5,3                                                       0
RAA20161201201611304818020560000サラＣ１６組　Ｃ１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラＣ１６組　Ｃ１６サラＣ１６組サラＣ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000017000000034000000170000001000000007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101010202000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,6),10,9,8,4,2,5,7,3                                                201,6,10,9,8,4,5,7,2,3                                                  301,6,4,10,9,(5,8),3,7,2                                                406,4,1,5,(9,10),8,3,7,2                                                0
RAA20161103201611024816031060000セレクトゴールド（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 セレクトゴールド（中セレクトゴーセレク0000E 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00025000000062500000250000001500000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111120200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,12,1,11,3,6,7,9,8,4,2                                              2010,12,1,11,6,7,3,4,8,9,2                                              3010,12,11,1,7,6,4,3,8,9,2                                              4011,10,1,12,(4,6,7),8,9,3,2                                            0
