RAA20170201201701314513021050000ジャニュアリーフラワー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               ジャニュアリーフラワジャニュアリジャニ0000E 120002000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002500000007500000050000000300000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,11,7,10,4,1,5,6,9,8,3                                               202,11,7,10,4,1,5,6,9,8,3                                               302,11,10,7,4,1,5,8,9,6,3                                               4011,7,(2,10),(1,9),(4,6),5,8,3                                         0
RAA20170107201701064512051080000十人十色の予想士軍団賞　Ｂ３一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          十人十色の予想士軍団十人十色の予十人十0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0002400000007200000048000000288000001920000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414141010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,13,2,12,(10,14),9,4,11,(6,8),3,7,1                                  205,13,2,12,10,14,4,9,(6,8),11,3,7,1                                    305,13,12,2,14,8,(9,10),(3,4,11),(1,6,7)                                405,12,2,(13,14),10,9,(4,8),11,6,7,1,3                                  0
RAA20170102201701014512011220000ニコニコプレミアムＣ５　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ニコニコプレミアムＣニコニコプレニコニ0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,8,11,4,7,10,2,5,3,1,12,6                                            209,8,4,11,7,10,2,3,5,1,12,6                                            309,8,4,10,2,11,7,5,1,3,12,6                                            409,4,8,10,2,7,3,6,5,11,1,12                                            0
RAA20170107201701064512050180000サラ系一般　Ｃ３三四　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ３三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0000800000002400000014400000096000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,7,10,3,8,1,6,2,5,9                                                  204,7,10,3,(1,8),6,(2,5),9                                              304,7,10,3,8,1,(5,6),2,9                                                404,7,3,8,6,1,10,5,2,9                                                  0
RAA20170131201701304513011240000一度は来てみて！湘南にのみや特別　Ｃ２一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          一度は来てみて！湘南一度は来てみ一度は0000E 000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001700000005100000034000000204000001360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,2,12,1,(3,8),9,7,11,4,6,10                                          205,2,12,1,3,8,9,(4,7),11,6,10                                          30(2,5),(1,12),3,(9,11),(6,8),4,7,10                                    402,5,1,3,12,9,(8,11),(4,6),10,7                                        0
RAA20170104201701034512030650000駿逸賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     駿逸賞　Ｃ２　　　　駿逸賞　Ｃ２駿逸賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　090000002300    0001100000003300000019800000132000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000202,4,(1,5,9),7,10,12,3,6,11,8                                          30(2,4,5,9),1,10,7,12,3,(8,11),6                                        402,(1,4),(3,5),(7,9,10),12,11,8,6                                      00                                                                      0
RAA20170104201701034512030950000サラ系一般　Ｃ１四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001200000003600000021600000144000001200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001211111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,8,3,7,11,1,2,4,(10,12)                                            206,9,3,8,7,(1,11),2,4,(10,12)                                          30(6,9),8,7,3,(1,11),4,2,10,12                                          406,7,9,8,3,1,(2,11),4,10,12                                            0
RAA20170107201701064512050680000サラ系一般　Ｃ２１２１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１２サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,2,4,1,(9,10),5,3,6                                                207,8,2,4,1,9,10,5,3,6                                                  307,2,4,9,10,8,1,5,3,6                                                  407,2,(4,9),(5,10),3,8,1,6                                              0
RAA20170131201701304513010840000サラ系一般　Ｃ２三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,12,4,8,5,1,3,9,(6,10,11)                                          202,7,12,4,8,1,5,3,9,11,(6,10)                                          302,(7,12),(4,5,8),(1,3),(9,10),11,6                                    402,4,7,(5,8),1,12,3,9,(10,11),6                                        0
RAA20170102201701014512010720000サラ系一般　Ｃ２四五六　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２四五サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,1,5,4,9,8,11,(10,12),6,7                                          202,3,5,1,4,8,9,11,12,10,7,6                                            302,(3,5),4,1,9,8,(11,12),6,7,10                                        402,3,5,1,4,9,12,8,11,6,10,7                                            0
RAA20170107201701064512050880000若水特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               若水特別　１　　　　若水特別　１若水特0000E 120000000000000000000サラ系３歳　２４０万上　　　　　　　　　　　　　　　　　　　160000002300    0002200000006600000044000000264000001760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,3,1,6,4,8,7,5,9                                                     202,3,1,6,4,8,7,5,9                                                     302,3,1,6,7,4,8,5,9                                                     40(2,3),1,6,4,7,8,(5,9)                                                 0
RAA20170107201701064512050780000サラ系一般　Ｃ２１２１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１２サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,7,4,6,11,5,9,3,1,10                                                 208,7,4,6,5,3,9,11,1,10                                                 308,7,(4,6),(3,5),9,(1,11),10                                           408,7,(4,5),6,3,9,1,11,10                                               0
RAA20170131201701304513010940000サラ系一般　Ｃ２三四五　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２三四サラ系一般　サラ系0000  000000000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000003000000018000000120000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001313131010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,(4,8),(3,5),10,9,12,2,11,13,7                                     201,6,4,5,8,3,10,9,12,2,11,13,7                                         30(1,6),8,5,3,4,(9,10),12,2,11,7,13                                     403,6,1,(4,5),11,10,8,2,9,13,12,7                                       0
