RAA20170111201701104717020950000マックル賞　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          マックル賞　２　　　マックル賞　マック0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000290000000670000002900000021000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,8,2,3,7,5,1                                                       204,6,8,2,3,7,5,1                                                       304,6,8,2,3,5,7,1                                                       40(6,8),4,2,3,5,7,1                                                     0
RAA20170111201701104717021050000若松特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               若松特別　１　　　　若松特別　１若松特0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000380000000880000003800000027000000190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,1,8,9,2,7,6,3,4                                                     205,8,1,9,2,7,6,4,3                                                     305,8,9,(2,7),1,(4,6),3                                                 408,5,7,2,(1,4),9,6,3                                                   0
RAA20170127201701264718040870000サラ系３歳２組特選　２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳２組特選　サラ系３歳２サラ系0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000290000000670000002900000021000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,2,7,1,3,(5,6)                                                       204,7,2,1,3,5,6                                                         304,7,2,1,6,3,5                                                         404,7,2,(1,6),3,5                                                       0
RAA20170113201701124717040770000サラ系Ｂ７組　Ｂ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｂ７組　Ｂ７　サラ系Ｂ７組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000400000001700000012000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,10,8,(3,6),7,(2,5),4                                              201,9,10,8,6,3,7,5,2,4                                                  301,9,10,5,8,6,3,4,7,2                                                  401,9,10,5,8,3,6,7,(2,4)                                                0
RAA20170114201701134717051080000パンジー特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          パンジー特別　Ｃ１　パンジー特別パンジ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000510000002200000016000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010105020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,8,4,(5,10),2,6,3,1                                                207,9,8,4,10,2,(5,6),3,1                                                307,9,8,6,4,10,1,3,2,5                                                  407,9,8,4,6,2,10,3,1,5                                                  0
RAA20170126201701254718031160000若草特別　Ｃ１８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          若草特別　Ｃ１８　　若草特別　Ｃ若草特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000200000000460000002000000014000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,8,1,4,5,10,9,2,7                                                  203,1,6,8,4,5,10,9,2,7                                                  303,1,8,6,(4,5),9,10,7,2                                                403,1,8,6,4,5,9,10,7,2                                                  0
RAA20170128201701274718050880000なずな賞　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     なずな賞　Ｃ８　　　なずな賞　Ｃなずな0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000160000000370000001600000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,8,1,4,5,2,7                                                       203,6,(1,8),4,5,2,7                                                     303,6,8,1,4,5,2,7                                                       40(3,6),8,1,4,5,2,7                                                     0
RAA20170127201701264718040970000若菜賞　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     若菜賞　Ｃ２　　　　若菜賞　Ｃ２若菜賞0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000170000000400000001700000012000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,8,6,(7,10),1,3,9,2,5                                                204,8,6,7,10,1,3,9,2,5                                                  304,8,6,10,(1,7),9,3,2,5                                                40(4,6,8),7,10,3,9,1,2,5                                                0
RAA20170127201701264718041170000端月特別　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          端月特別　Ｃ１　　　端月特別　Ｃ端月特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000510000002200000016000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,10,6,5,4,2,9,3,1,8                                                  207,(6,10),5,4,2,(3,9),1,8                                              307,10,5,6,4,2,9,3,1,8                                                  407,10,6,5,2,4,3,9,1,8                                                  0
RAA20170127201701264718041070000ゴールドジュニア　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　GOLD JUNIOR                                                                                                                                                                                                                                                                                                                                                             ゴールドジュニア　　ゴールドジュゴール0000D 120002000000000000000サラ系３歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　160000002400    0001800000004500000019800000108000000540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,8,1,9,5,10,7,(3,6)                                                202,4,8,1,9,5,10,7,3,6                                                  302,4,8,7,1,9,5,10,6,3                                                  40(2,4),8,7,5,1,9,6,10,3                                                0
RAA20170110201701094717010840000サラ系Ｃ８組　Ｃ８　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系Ｃ８組　Ｃ８　サラ系Ｃ８組サラ系0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000160000000370000001600000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707072030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,6,7,1,2,4,5                                                         203,6,7,1,2,(4,5)                                                       303,6,7,2,1,4,5                                                         403,6,(1,2),5,7,4                                                       0
RAA20170124201701234718011040000千両特別　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          千両特別　Ｂ１　　　千両特別　Ｂ千両特0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000290000000670000002900000021000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,7,2,4,8,9,10,3,6                                                  201,5,2,7,4,8,9,10,3,6                                                  305,7,1,3,4,8,2,10,6,9                                                  405,7,(3,4),8,(1,10),2,6,9                                              0
