RAA20170607201706064606020950000能登舳倉島賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               能登舳倉島賞（中央交能登舳倉島賞能登舳0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000001840000009600000072000000480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807071010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,1,6,7,2,8,4                                                         203,6,(1,7),(2,8),4                                                     303,6,7,8,(1,2),4                                                       403,6,7,8,1,2,4                                                         0
RAA20170614201706134606040850000サラ系一般　Ｂ２５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２５　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000570000003000000022000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,6,7,(2,8),5,9,3,1                                                   204,6,7,2,8,9,5,3,1                                                     30(4,6),7,(2,3),8,9,5,1                                                 404,6,3,9,2,(1,7),8,5                                                   0
RAA20170605201706044606010720000加賀に酔いしれステキ勝負師へ２１年感謝杯　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          加賀に酔いしれステキ加賀に酔いし加賀に0000  120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,5,9,(1,6,10),4,7,2                                                203,8,5,9,1,6,4,10,7,2                                                  303,8,5,(1,2,9),6,10,4,7                                                403,2,5,9,1,8,10,6,4,7                                                  0
RAA20170621201706204607020550000サラ系３歳　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ２　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,8,10,9,6,2,5,1,(3,4)                                                207,(8,10),9,6,2,5,1,3,4                                                3010,7,8,9,6,5,2,1,3,4                                                  4010,8,(7,9),6,5,(1,2),(3,4)                                            0
RAA20170612201706114606030920000サラ系一般　Ｂ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000570000003000000022000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,(8,9),6,(10,11),7,2,5,3,4                                           201,(8,9),6,11,10,5,7,2,4,3                                             306,9,11,10,8,(2,4,5),7,3                                               406,10,(5,7),4,9,(2,3,11),8                                             0
RAA20170614201706134606040350000サラ系３歳　Ｂ二走１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ二走１サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,4,1,3,2                                                           206,5,4,1,3,2                                                           306,5,4,1,3,2                                                           406,5,1,4,3,2                                                           0
RAA20170623201706204607021150000石川ダービー　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　ISHIKAWA DERBY                                                                                                                                                                                                                                                                                                                                                          石川ダービー　　　　石川ダービー石川ダ0000D 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　200000002400    0004000000009200000048000000360000002400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,9,10,1,2,11,6,12,3,4,5,7                                            208,(9,10),1,2,11,6,12,4,3,5,7                                          301,8,10,9,2,11,(6,12),4,5,3,7                                          401,11,12,8,(5,6),2,(3,4),10,7,9                                        0
RAA20170607201706064606020550000サラ系３歳　Ａ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ａ２　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000300000000690000003600000027000000180000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,5,7,6,9,8,3,10,(2,4)                                                201,7,5,6,9,3,8,10,2,4                                                  30(1,7),5,6,9,3,10,2,8,4                                                40(3,6),7,10,9,2,1,5,8,4                                                0
RAA20170621201706204607020850000サラ系３歳　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ａ３　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000250000000570000003000000022000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,7,2,(1,8),4,5,3                                                     206,7,2,1,8,4,5,3                                                       306,7,8,1,2,4,5,3                                                       40(6,7),1,8,4,5,(2,3)                                                   0
RAA20170619201706184607010220000サラ系３歳　Ｂ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ１０　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,3,7,5,1,(2,4)                                                     206,9,(3,7),5,1,2,4                                                     306,9,(3,5),7,1,2,4                                                     406,5,9,(1,3),2,7,4                                                     0
RAA20170626201706254607030120000サラ系３歳　Ｂ二走５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ二走５サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,(1,4),9,6,2,3,5,7                                                208,10,1,4,9,6,2,3,5,7                                                  308,10,(1,4),6,9,2,(3,5),7                                              408,(1,4),10,6,2,9,3,5,7                                                0
