RAA20170718201707173504060940000マーキュリーＣ（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　MERCURY CUP                                                                                                                                                                                                                                                                                                                                                             マーキュリーＣ（中央マーキュリーマーキ0000C 000002000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　200000002300    0023000000052900000299000002070000011500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,10,(3,13),2,14,12,(4,7),8,11,1,9                                  206,5,10,3,13,2,14,12,(4,7),8,11,1,9                                    306,5,10,3,2,14,13,12,(8,11),7,4,1,9                                    40(5,6),3,10,2,14,12,7,11,13,8,1,4,9                                    0
RAA20170725201707243505031040000アンバー賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               アンバー賞（中央交流アンバー賞（アンバ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0001000000002000000010000000070000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,4,3,1,6,7,9,8,2                                                     405,4,1,3,7,6,9,8,2                                                     00                                                                      00                                                                      0
RAA20170725201707243505031140000エメラルド賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               エメラルド賞（中央交エメラルド賞エメラ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　170000001100    00010000000020000000100000000700000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012121223000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001012,4,10,2,1,(5,11),(3,6,9),8,7                                        2012,4,2,10,5,11,1,3,6,9,8,7                                            30(8,12),10,4,2,7,(5,6),11,3,9,1                                        408,10,7,4,(2,12),(5,6),9,3,11,1                                        0
RAA20170731201707303505051220000せきれい賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　SEKIREI SHO                                                                                                                                                                                                                                                                                                                                                             せきれい賞　　　　　せきれい賞　せきれ0000D 000004000000000000000サラ系一般　ＯＰ　　　　　　　　　　　　　　　　　　　　　　240000001100    0003000000006900000039000000270000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,5,6,3,2,10,14,13,4,11,12,1,7,8                                      209,5,6,3,2,10,14,13,4,11,12,1,8,7                                      309,5,3,10,6,2,13,4,11,14,12,8,1,7                                      405,3,9,6,2,10,11,13,4,14,12,8,1,7                                      0
RAA20170718201707173504061240000南昌山賞ターフＣｈ　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     南昌山賞ターフＣｈ　南昌山賞ター南昌山0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000001100    0000260000000520000002600000019000000070000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,6,2,8,11,10,12,5,3,4,7,9                                            401,6,2,10,8,12,4,11,5,3,9,7                                            00                                                                      00                                                                      0
RAA20170710201707093504021220000オパールＣ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPAL CUP                                                                                                                                                                                                                                                                                                                                                                オパールＣ　　　　　オパールＣ　オパー0000D 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　170000001100    00030000000069000000390000002700000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010101011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,5,8,6,9,2,4,1,7,3                                                  2010,5,8,9,6,2,4,1,7,3                                                  3010,5,8,6,9,1,3,7,4,2                                                  4010,5,6,9,1,8,3,7,4,2                                                  0
RAA20170711201707103504030840000３歳Ｂ２二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳Ｂ２二組　　　　３歳Ｂ２二組３歳Ｂ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000360000000720000003600000026000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,7,10,3,8,9,1,6,5,4                                                  402,7,10,3,9,8,6,1,5,4                                                  00                                                                      00                                                                      0
RAA20170723201707223505010710000フウセンアサガオ賞　Ｂ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          フウセンアサガオ賞　フウセンアサフウセ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002300    0000480000000960000004800000034000000140000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,7,4,6,5,1,10,8,9,2                                                  407,4,9,6,3,5,1,10,8,2                                                  00                                                                      00                                                                      0
RAA20170711201707103504030940000シュシュ賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          シュシュ賞　　　　　シュシュ賞　シュシ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000001100    0000360000000720000003600000026000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,8,4,1,10,7,6,11,2,9,5                                               404,3,10,8,1,7,6,2,9,11,5                                               00                                                                      00                                                                      0
RAA20170719201707173504060840000ジャパンＪｓＣ　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          ジャパンＪｓＣ　Ｂ２ジャパンＪｓジャパ0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000001100    0000450000000900000004500000032000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,10,11,3,6,5,12,9,1,8,7                                            202,4,10,11,3,6,5,12,9,1,8,7                                            302,10,11,4,3,6,12,5,(1,9),8,7                                          402,(10,11),(3,4),5,6,12,9,8,1,7                                        0
RAA20170723201707223505010910000姫神賞ターフＣｈ　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     姫神賞ターフＣｈ　Ｂ姫神賞ターフ姫神賞0000  000000000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　100000001100    0000300000000600000003000000021000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707074300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,7,2,3,6,4,1                                                         405,7,2,3,6,4,1                                                         00                                                                      00                                                                      0
RAA20170718201707163504051020000横手市滝ノ沢賞　Ｃ１二組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          横手市滝ノ沢賞　Ｃ１横手市滝ノ沢横手市0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000300000000600000003000000021000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010104040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301,9,10,(5,7),8,6,4,3,2                                                40(1,9),5,10,4,7,2,8,3,6                                                00                                                                      00                                                                      0
RAA20170725201707243505030740000３歳Ｃ１一組（中央騎手騎乗）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          ３歳Ｃ１一組（中央騎３歳Ｃ１一組３歳Ｃ0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000300000000600000003000000021000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808083030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,7,8,1,6,5,2,4                                                       401,3,2,8,7,5,6,4                                                       00                                                                      00                                                                      0
RAA20170801201707313505061240000南昌山賞　Ｃ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          南昌山賞　Ｃ１　　　南昌山賞　Ｃ南昌山0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000001100    0000390000000780000003900000028000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908083300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,2,7,1,3,9,5,6                                                       404,2,1,7,9,3,5,6                                                       00                                                                      00                                                                      0
RAA20170724201707233505020820000稲瀬とうもろこしモギモギ賞　Ｂ２一組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          稲瀬とうもろこしモギ稲瀬とうもろ稲瀬と0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002300    0000360000000720000003600000026000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302,8,10,9,6,7,1,3,5,4                                                  402,8,10,9,6,1,3,7,5,4                                                  00                                                                      00                                                                      0
RAA20170730201707293505040810000スカーレットオハラ賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          スカーレットオハラ賞スカーレットスカー0000  120000000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　160000001100    0000300000000600000003000000021000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,10,9,3,8,5,1,7,6,2                                                  4010,4,9,3,5,8,1,6,7,2                                                  00                                                                      00                                                                      0
