RAA20170830201708294612020950000能登巌門賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               能登巌門賞（中央交流能登巌門賞（能登巌0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000001840000009600000072000000480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,1,4,2,(6,7),3                                                     205,8,1,7,(2,4),6,3                                                     305,8,7,(1,2),6,4,3                                                     405,8,7,6,2,4,1,3                                                       0
RAA20170804201708034610030970000サラ系一般　Ｂ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000250000000570000003000000022000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,7,6,9,10,2,8,5,3,4                                                  201,7,9,6,10,2,8,(4,5),3                                                301,7,(6,9),8,2,10,3,(4,5)                                              401,6,9,2,(3,7,8),5,4,10                                                0
RAA20170823201708224611041250000サラ系一般　Ｂ２２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｂ２２　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000250000000570000003000000022000000150000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,6,2,7,9,(3,8),4,5                                                   201,6,2,7,9,8,3,4,5                                                     30(1,6),2,9,(5,7),(3,8),4                                               40(1,6),2,9,5,3,7,8,4                                                   0
RAA20170828201708274612010320000サラ系３歳　Ｂ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ１０　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,10,(2,9),1,7,(4,5),3                                              206,8,10,2,9,1,(5,7),4,3                                                306,8,(2,9,10),1,4,(5,7),3                                              406,(2,8),9,(1,4),10,7,3,5                                              0
RAA20170823201708224611040550000サラ系３歳　Ｂ二走１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ二走１サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,5,4,(1,3),2                                                         206,5,4,(1,3),2                                                         306,5,4,3,1,2                                                           406,5,4,1,3,2                                                           0
RAA20170804201708034610030270000サラ系一般　Ｃ１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ１５　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000500000002600000019000000130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,(1,9),(2,4,6),8,5                                                 203,7,(1,9),4,2,8,6,5                                                   303,7,1,9,(2,4),5,8,6                                                   403,7,1,2,9,4,5,8,6                                                     0
RAA20170821201708204611031220000ＧａｔｅｗａｙＳｕｍｍｅｒＤｉｒｔ　Ｂ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ＧａｔｅｗａｙＳｕｍＧａｔｅｗａＧａｔ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000025000000057000000300000002200000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,2),6,7,4,3,5                                                       20(1,2),7,6,4,3,5                                                       30(1,7),2,6,5,4,3                                                       401,7,(2,6),5,4,3                                                       0
RAA20170821201708204611031120000準くろゆり賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　OPEN(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                      準くろゆり賞　　　　準くろゆり賞準くろ0000E 110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0001000000002300000012000000090000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,7,10,9,11,2,5,4,6,1,8                                               203,7,10,9,2,11,5,4,6,1,8                                               303,7,10,9,(2,11),5,4,6,1,8                                             403,7,9,5,10,(2,4),(6,11),1,8                                           0
RAA20170809201708084610040350000西海祭り特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 西海祭り特別　１　　西海祭り特別西海祭0000E 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000450000001030000005400000040000000270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000707073040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,5,4,(6,7),3                                                       201,2,5,4,6,7,3                                                         30(1,2,5),(6,7),4,3                                                     405,1,2,6,4,7,3                                                         0
RAA20170816201708154611021050000太鼓打競技大会特別　Ａ１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               太鼓打競技大会特別　太鼓打競技大太鼓打0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000400000000920000004800000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111112010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,9,11,4,6,(2,7),(1,3),10,8                                           205,9,11,4,6,2,(1,3,7),10,8                                             305,9,11,4,2,3,7,(1,6),8,10                                             405,9,4,2,(3,7),11,(1,8),10,6                                           0
RAA20170802201708014610021150000ＭＲＯ金賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　MRO KIN SHO                                                                                                                                                                                                                                                                                                                                                             ＭＲＯ金賞　　　　　ＭＲＯ金賞　ＭＲＯ0000D 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　190000002400    0002500000005750000030000000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,11,(4,12),(8,9),7,5,6,10,3                                        201,2,11,4,12,8,9,6,7,5,10,3                                            301,2,11,(4,6),(8,9),7,12,10,5,3                                        401,(2,11),4,6,9,8,(5,7),10,3,12                                        0
RAA20170809201708084610040550000サラ系３歳　Ｂ二走３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ二走３サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,3,5,2,(7,9),(6,8),4                                                 201,3,9,(2,5),7,6,8,4                                                   301,3,(2,9),5,7,(6,8),4                                                 401,2,3,(5,9),7,6,8,4                                                   0
RAA20170816201708154611020150000サラ系３歳　Ｂ４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ４　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000020000000046000000240000001800000012000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(1,4),(3,5),(8,9),6,2,7                                               201,4,5,3,(8,9),6,7,2                                                   301,(3,4),5,8,9,6,7,2                                                   401,3,8,4,6,2,5,9,7                                                     0
RAA20170802201708014610020750000サラ系３歳　Ａ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ａ３　　サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    000025000000057000000300000002200000015000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(8,11),2,4,1,10,3,9,7,(5,6)                                           2011,8,2,4,10,1,3,9,7,5,6                                               3011,8,(4,10),2,1,3,6,7,9,5                                             404,11,(8,10),2,6,1,3,7,9,5                                             0
RAA20170814201708134611010420000サラ系一般　Ｃ２６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２６　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,1,(2,5),7,(6,8),3                                                   204,1,2,7,5,6,8,3                                                       30(1,4),7,2,6,5,8,3                                                     40(1,4),7,6,2,8,5,3                                                     0
RAA20170828201708274612010120000サラ系一般　Ｃ２６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２６　サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606061020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,4,2,3,6,5                                                           201,4,(2,3),6,5                                                         301,3,2,4,6,5                                                           401,3,2,6,4,5                                                           0
RAA20170809201708084610040750000サラ系３歳　Ｂ二走１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                          サラ系３歳　Ｂ二走１サラ系３歳　サラ系0000  120004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,9,1,8,4,7,5,3                                                     202,6,9,1,4,8,7,5,3                                                     302,9,6,1,4,8,(3,7),5                                                   402,9,6,1,8,4,(3,7),5                                                   0
