RAA20171004201710034614041150000白山大賞典（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HAKUSAN DAISHOTEN                                                                                                                                                                                                                                                                                                                                                       白山大賞典（中央交流白山大賞典（白山大0000C 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　210000002400    0021000000048300000252000001890000012600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,10,(3,4),(2,5),6,9,7,1                                              208,10,3,5,4,2,6,(7,9),1                                                30(8,10),3,5,2,4,6,7,9,1                                                4010,8,(2,3),5,6,4,7,9,1                                                0
RAA20171025201710244616021050000加賀白山賞（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          加賀白山賞（中央交流加賀白山賞（加賀白0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000800000001840000009600000072000000480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,(5,8),(3,7),10,1,2,4,6                                              209,8,5,(3,7),1,10,(2,4),6                                              309,8,(5,7),3,(1,2),(4,10),6                                            409,8,7,2,(4,5),3,(1,10),6                                              0
RAA20171002201710014614031120000金沢プリンセスＣ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KANAZAWA PRINCESS CUP                                                                                                                                                                                                                                                                                                                                                   金沢プリンセスＣ（中金沢プリンセ金沢プ0000D 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0002500000005750000030000000225000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212122010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,10,8,(3,12),5,11,2,7,4,1,6                                          209,10,8,3,(5,12),11,2,1,7,(4,6)                                        309,(8,10,12),3,(5,11),2,1,4,6,7                                        409,8,12,5,(1,2),11,(4,10),(3,6),7                                      0
RAA20171102201710174615041150000金沢シンデレラＣ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　KANAZAWA CINDERELLA CUP                                                                                                                                                                                                                                                                                                                                                 金沢シンデレラＣ（中金沢シンデレ金沢シ0000D 110002000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0003000000006900000036000000270000001800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000109,(1,5),2,8,(6,7),4,3,10                                              209,1,5,2,(6,8),7,4,3,10                                                309,1,6,(2,5),8,(4,7),3,10                                              409,6,1,2,(5,8),7,4,3,10                                                0
RAA20171101201710314616040550000輪島漆芸技術研修所５０周年記念展特別　１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 輪島漆芸技術研修所５輪島漆芸技術輪島漆0000E 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000450000001030000005400000040000000270000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,(2,7),(1,5),8,6                                                   203,4,2,7,1,5,8,6                                                       303,4,2,7,1,5,(6,8)                                                     403,(2,4),7,1,8,5,6                                                     0
RAA20171009201710084615010620000サラ系一般　Ｃ２１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１０サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　130000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000107,9,2,8,1,6,11,(3,5),10,4                                             207,(8,9),2,1,6,11,5,3,10,4                                             307,(2,8,9),1,(5,6,11),(3,4,10)                                         407,2,(8,11),1,4,(5,9),3,10,6                                           0
RAA20171009201710084615010220000サラ系一般　Ｃ２１４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１４サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,6,7,4,3,1,5,2                                                       208,6,7,3,4,1,5,2                                                       308,6,3,7,1,4,5,2                                                       408,6,3,1,4,7,5,2                                                       0
RAA20171016201710154615030520000サラ系一般　Ｃ２二走５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二走サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909092030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,9,5,1,(2,7),8,4,3                                                   20(6,9),(1,5),2,7,8,3,4                                                 30(6,9),1,5,2,7,8,3,4                                                   40(6,9),1,(2,5),7,3,8,4                                                 0
RAA20171030201710294616030520000サラ系一般　Ｃ２二走３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二走サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010103040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108,5,10,1,2,7,9,(4,6),3                                                208,5,10,1,7,2,9,4,6,3                                                  308,10,5,7,2,9,1,4,6,3                                                  40(8,10),(2,7),5,9,4,6,1,3                                              0
RAA20171018201710174615041050000秋の味覚と「能登牛」肉まつり特別　Ａ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          秋の味覚と「能登牛」秋の味覚と「秋の味0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000100000000230000001200000009000000060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070707103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,6),4,3,(1,7),5                                                     20(2,6),4,3,1,7,5                                                       30(3,6),2,4,1,7,5                                                       403,4,1,7,6,2,5                                                         0
RAA20171101201710314616041150000九谷陶芸村まつり特別　Ａ１１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          九谷陶芸村まつり特別九谷陶芸村ま九谷陶0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    0001000000002300000012000000090000000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,5,(1,7),(2,6),3,8,9                                                 204,5,(1,7),6,(2,3),8,9                                                 304,5,(3,7),1,(2,6),8,9                                                 404,1,5,(2,3),7,6,8,9                                                   0
RAA20171009201710084615010920000いしかわスイーツ博賞　Ｂ２特選　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          いしかわスイーツ博賞いしかわスイいしか0000E 000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    000039000000089000000460000003500000023000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090909103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(2,4,8),1,6,3,5,7,9                                                   202,4,8,1,3,6,5,7,9                                                     30(2,8),7,(3,4),(1,6,9),5                                               407,9,8,(2,3),1,5,6,4                                                   0
RAA20171030201710294616030920000隼平・理沙祝☆結婚記念　Ｂ２４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     隼平・理沙祝☆結婚記隼平・理沙祝隼平・0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　150000002400    00002500000005700000030000000220000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111130400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010,11,5,9,(6,8),(1,7),4,2,3                                           2010,11,5,9,8,6,(1,2,7),4,3                                             3010,8,(2,5,11),6,9,(1,7),4,3                                           408,(2,10),1,5,6,(4,9,11),7,3                                           0
RAA20171016201710154615030420000サラ系一般　Ｃ２二走６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２二走サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,3,8,7,5,9,(2,4),10,1                                                206,3,8,7,9,5,4,2,1,10                                                  306,8,3,4,5,7,9,2,1,10                                                  406,8,4,5,3,2,7,9,1,10                                                  0
RAA20171023201710224616010220000サラ系一般　Ｃ２１３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     サラ系一般　Ｃ２１３サラ系一般　サラ系0000  000004000000000000000　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000460000002400000018000000120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,9,7,4,1,3,6,2                                                     205,8,9,7,4,3,1,6,2                                                     305,9,4,(7,8),3,1,6,2                                                   405,9,(4,7),8,3,1,6,2                                                   0
