RAA20171223201712224821040980000ワタリ賞　Ｂ１０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ワタリ賞　Ｂ１０　　ワタリ賞　Ｂワタリ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000220000000550000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000908081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,7,1,2,9,5,8                                                       203,4,7,2,1,9,5,8                                                       303,4,7,2,1,9,8,5                                                       40(4,7),2,1,3,9,8,5                                                     0
RAA20171212201712114820010640000ナカさん生誕７０歳記念　Ｃ２０　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     ナカさん生誕７０歳記ナカさん生誕ナカさ0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    00002000000005000000020000000120000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011,10,4,6,1,8,2,7,3,5,9                                               2010,11,4,6,8,1,7,2,3,5,9                                               3010,11,6,8,4,1,7,2,9,3,5                                               4010,11,8,4,1,6,7,3,2,9,5                                               0
RAA20171219201712184821010740000あーはちゃんピオンシップ　Ｃ２１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     あーはちゃんピオンシあーはちゃんあーは0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,2,5,4,1,9,7,3                                                     206,8,2,5,1,4,7,9,3                                                     306,8,(2,5),1,4,7,9,3                                                   406,8,5,2,1,4,7,9,3                                                     0
RAA20171221201712204821020560000Ｃ１６組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１６組　　　　　　Ｃ１６組　　Ｃ１６0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,9,2,8,6,5,3,4,7                                                     201,9,2,8,6,5,3,(4,7)                                                   301,9,8,6,2,(3,5),7,4                                                   401,9,6,8,3,4,7,2,5                                                     0
RAA20171214201712134820020360000２歳キング　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                                 ２歳キング　　　　　２歳キング　２歳キ0000E 110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000600000001500000006000000036000000240000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,10,6,7,9,4,2,5,8,3                                                  201,10,6,9,7,4,5,2,8,3                                                  301,10,6,9,(4,7),(2,5),8,3                                              401,6,9,4,10,7,2,8,5,3                                                  0
RAA20171202201712014819040280000Ｃ７組　Ｃ７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ７組　Ｃ７　　　　Ｃ７組　Ｃ７Ｃ７組0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104,3,8,5,1,7,2,6                                                       204,3,8,5,1,7,2,6                                                       304,3,8,1,5,2,7,6                                                       404,3,1,8,5,2,6,7                                                       0
RAA20171215201712144820030370000Ｃ１１組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１１組　　　　　　Ｃ１１組　　Ｃ１１0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,8,6,4,5,7,9,2,1                                                     203,8,6,4,5,7,9,2,1                                                     303,6,8,4,5,7,(2,9),1                                                   403,6,8,4,7,9,5,2,1                                                     0
RAA20171222201712214821030570000Ｃ１１組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１１組　　　　　　Ｃ１１組　　Ｃ１１0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,8,2,4,1,7,10,6,3,9                                                  205,8,2,4,10,1,7,6,3,9                                                  305,8,2,4,1,10,7,6,9,3                                                  408,5,4,2,1,10,6,7,9,3                                                  0
RAA20180201201712144820031170000名古屋ＧＰ（中央交流）　Ｊｐｎ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　NAGOYA GRAND PRIX                                                                                                                                                                                                                                                                                                                                                       名古屋ＧＰ（中央交流名古屋ＧＰ（名古屋0000B 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　250000002400    0031000000074400000372000002480000018600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,5,1,12,2,9,11,4,6,10,8,7                                            203,5,1,12,2,11,9,4,6,8,10,7                                            303,5,2,1,11,9,12,8,6,(4,10),7                                          40(2,3,5),1,11,8,9,6,10,7,4,12                                          0
RAA20171214201712134820020260000Ｃ１６組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ１６組　　　　　　Ｃ１６組　　Ｃ１６0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106,8,2,10,4,7,5,3,9,1                                                  206,8,2,10,4,7,5,3,1,9                                                  306,8,2,10,7,4,5,1,3,9                                                  406,8,7,4,2,10,9,1,5,3                                                  0
RAA20171218201712154820040580000Ｃ３組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｃ３組　　　　　　　Ｃ３組　　　Ｃ３組0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000200000000500000002000000012000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101,2,3,7,8,4,5,6                                                       201,3,2,7,8,4,6,5                                                       301,3,2,8,7,6,5,4                                                       403,8,1,7,2,6,5,4                                                       0
RAA20171225201712224821040880000Ｂ１１組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     Ｂ１１組　　　　　　Ｂ１１組　　Ｂ１１0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000550000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,6,7,1,5,9,8,4,3                                                     202,6,7,1,5,9,8,4,3                                                     302,6,7,(1,5,9),4,8,3                                                   402,6,5,9,1,4,7,8,3                                                     0
RAA20171202201712014819040780000畠中清羅２２歳せいたん記念　Ｃ２　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　THREE-YEAR-OLD & UP                                                                                                                                                                                                                                                                                                                                                     畠中清羅２２歳せいた畠中清羅２２畠中清0000  000004000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　140000002400    0000220000000550000002200000013000000090000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010101020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105,4,6,3,9,8,2,1,10,7                                                  205,4,6,3,9,8,1,2,10,7                                                  305,6,4,3,9,8,1,2,10,7                                                  405,4,3,6,9,8,1,2,10,7                                                  0
