RAA20180608201806073004041170000北海道スプリントＣ（中央交流）　Ｊｐｎ３　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　HOKKAIDO SPRINT CUP                                                                                                                                                                                                                                                                                                                                                     北海道スプリントＣ（北海道スプリ北海道0000C 130002000000000000000サラ系３歳上　ＯＰ　　　　　　　　　　　　　　　　　　　　　120000002400    0022000000044000000330000002200000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001616161010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,12,14,(3,5),(8,10),9,13,2,(1,7),(11,15),16,4                        406,(12,14),5,3,8,10,13,(2,9),15,1,7,11,16,4                            00                                                                      00                                                                      0
RAA20180614201806133005020860000アルキバ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               アルキバ特別（中央交アルキバ特別アルキ0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000600000001200000009000000060000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909093040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,9,(7,8),5,4,2,3,1                                                   406,9,8,7,5,4,2,1,3                                                     00                                                                      00                                                                      0
RAA20180621201806203005040760000アルビレオ特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD & UP)                                                                                                                                                                                                                                                                                                                                          アルビレオ特別（中央アルビレオ特アルビ0000E 000002000000000000000サラ系一般　　　　　　　　　　　　　　　　　　　　　　　　　180000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606062010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,4,3,(5,6),1                                                         202,4,3,5,6,1                                                           302,4,5,3,6,1                                                           402,4,3,5,6,1                                                           0
RAA20180628201806273006020860000フェルカド特別（中央交流）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(THREE-YEAR-OLD)                                                                                                                                                                                                                                                                                                                                               フェルカド特別（中央フェルカド特フェル0000E 120004000000000000000サラ系３歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000600000001200000009000000060000000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808082040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000306,7,8,(1,3),(4,5),2                                                   40(6,7),8,(1,3),4,2,5                                                   00                                                                      00                                                                      0
RAA20180621201806203005040260000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　100000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000807072010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,8,(1,2,5),3,7                                                       404,8,(1,2,5),3,7                                                       00                                                                      00                                                                      0
RAA20180608201806073004041070000ウィナーズＣｈ１（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ウィナーズＣｈ１（中ウィナーズＣウィナ0000E 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0002000000004000000030000000200000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001009091010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,2,8,10,(1,6,7),3,4                                                  40(5,8),2,10,(6,7),(1,4),3                                              00                                                                      00                                                                      0
RAA20180628201806273006021060000ウィナーズＣｈ２（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TOKUBETSU(TWO-YEAR-OLD OP)                                                                                                                                                                                                                                                                                                                                              ウィナーズＣｈ２（中ウィナーズＣウィナ0000E 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　100000002400    0002000000004000000030000000200000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000605052040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,2,3,(1,6)                                                           405,2,1,3,6                                                             00                                                                      00                                                                      0
RAA20180608201806073004040770000アタックＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタックＣｈ（中央認アタックＣｈアタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　170000002400    000080000000160000001200000008000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010(4,6),(3,7),11,8,(1,9),(2,10),5                                       204,6,7,3,11,8,(1,9),10,2,5                                             30(4,7),(3,6,8),11,9,1,(2,10),5                                         40(4,7),8,(3,6),(9,11),10,(1,2),5                                       0
RAA20180615201806143005030570000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　170000002400    0001500000003000000022500000150000000750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000808081030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103,4,8,1,7,5,6,2                                                       20(3,4),8,(1,7),5,6,2                                                   30(3,4),8,1,7,5,2,6                                                     40(3,4),(1,8),7,5,2,6                                                   0
RAA20180621201806203005040460000アタックＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタックＣｈ（中央認アタックＣｈアタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　160000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010102010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102,7,(4,5),(8,10),3,(6,9),1                                            202,7,(4,5),(8,10),9,3,6,1                                              302,(5,7),4,10,8,3,9,6,1                                                402,5,7,4,(8,10),3,6,1,9                                                0
RAA20180629201806283006031270000栄冠賞（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　EIKAN SHO                                                                                                                                                                                                                                                                                                                                                               栄冠賞（中央認定）　栄冠賞（中央栄冠賞0000D 110004000000000000000サラ系２歳　ＯＰ　　　　　　　　　　　　　　　　　　　　　　120000002400    0003000000006000000045000000300000001500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414142030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303,(6,13),9,8,(7,10,11),12,2,14,4,5,1                                  403,(6,13),9,10,(7,8),(2,11,12),5,4,14,1                                00                                                                      00                                                                      0
RAA20180607201806063004030660000アタックＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタックＣｈ（中央認アタックＣｈアタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　100000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001212121010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000304,5,3,8,12,2,7,(1,6),(9,10),11                                        404,5,3,12,8,(2,7),(1,6),(9,10),11                                      00                                                                      00                                                                      0
RAA20180608201806073004040670000アタックＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD                                                                                                                                                                                                                                                                                                                                                            アタックＣｈ（中央認アタックＣｈアタッ0000  110004000000000000000サラ系２歳　　　　　　　　　　　　　　　　　　　　　　　　　120000002400    0000800000001600000012000000080000000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000305,11,(2,6),4,7,1,9,10,8                                               405,11,(2,6),4,7,1,9,10,8                                               00                                                                      00                                                                      0
RAA20180615201806143005030670000フレッシュＣｈ（中央認定）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　TWO-YEAR-OLD NEWCOMER                                                                                                                                                                                                                                                                                                                                                   フレッシュＣｈ（中央フレッシュＣフレッ0000  110004000000000000000サラ系２歳　新馬　　　　　　　　　　　　　　　　　　　　　　120000002400    000150000000300000002250000015000000075000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080808103000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030(4,5),(1,6),2,8,3,7                                                   404,(2,5),(1,6),8,3,7                                                   00                                                                      00                                                                      0
