HN120021220110000050000000000000000000ラシカツター　　　　　　　　　　　　ﾗｼｶﾂﾀｰ                                  Rushcutter                                                                      1905110331925英　　　　　　　　　1130096200000000
HN120021220110000150000000000000000000第拾シアンモア　　　　　　　　　　　                                                                                                                        1930110400000岩手県　　　　　　　1110000112000023
HN120021220110000250000000000000000000ミンドアー　　　　　　　　　　　　　ﾐﾝﾄﾞｱｰ                                  Mint d'Or                                                                       1922110331929英　　　　　　　　　1130134500000000
HN120021220110000350000000000000000000アスフオード　　　　　　　　　　　　ｱｽﾌｵｰﾄﾞ                                 Athford                                                                         1925110331932英　　　　　　　　　1130091912400177
HN120021220110000650000000000000000000シヤイン　　　　　　　　　　　　　　ｼﾔｲﾝ                                    Shine                                                                           1929110300000青森県　　　　　　　1100001600000000
HN120021220110000750000000000000000000ゼモーホーク　　　　　　　　　　　　ｾﾞﾓｰﾎｰｸ                                 The Mohawk                                                                      1924110330000英　　　　　　　　　1130150400000000
HN120021220110000850000000000000000000秀白　　　　　　　　　　　　　　　　                                                                                                                        1930110000000　　　　　　　　　　0000000000000000
HN120021220110000950000000000000000000第七ガロン　　　　　　　　　　　　　                                                                                                                        1917110000000　　　　　　　　　　1100001712000053
HN120021220111000050000000000000000000ダツシング　　　　　　　　　　　　　ﾀﾞﾂｼﾝｸﾞ                                 Dashing                                                                         1935110700000岩手県　　　　　　　1110000112005001
HN120021220111000150000000000000000000アンダーソン　　　　　　　　　　　　ｱﾝﾀﾞｰｿﾝ                                 Anderson                                                                        1945110100000浦河町　　　　　　　1110001212000170
HN120021220111000250000000000000000000ミツシヨン　　　　　　　　　　　　　ﾐﾂｼﾖﾝ                                   Mission                                                                         1944110300000浦河町　　　　　　　1110000112100036
HN120021220111000350000000000000000000クリアヅマ　　　　　　　　　　　　　ｸﾘｱﾂﾞﾏ                                  Kuri Azuma                                                                      1941110300000岩手県　　　　　　　1110000212000082
HN120021220111000450000000000000000000ヒダカクモハタ　　　　　　　　　　　ﾋﾀﾞｶｸﾓﾊﾀ                                Hidaka Kumohata                                                                 1942110100000浦河町　　　　　　　1110018112100338
HN120021220111000550000000000000000000ウイザート　　　　　　　　　　　　　ｳｲｻﾞｰﾄ                                  Wizard                                                                          1947110100000浦河町　　　　　　　1110017912100152
HN120021220111000950000000000000000000トーアノフジ　　　　　　　　　　　　ﾄｰｱﾉﾌｼﾞ                                 Toano Fuji                                                                      1946110300000浦河町　　　　　　　1110000112100375
HN120021220111001050000000000000000000開銀　　　　　　　　　　　　　　　　                                                                                                                        1935110600000浦河町　　　　　　　1100001012000237
HN120021220111001250000000000000000000ステージアレー　　　　　　　　　　　ｽﾃｰｼﾞｱﾚｰ                                Stage Alley                                                                     1950110330000米　　　　　　　　　1130101912403907
HN120021220111001350000000000000000000サツマゴロー　　　　　　　　　　　　ｻﾂﾏｺﾞﾛｰ                                 Satsuma Goro                                                                    1941110300000鹿児島県　　　　　　1100001312005013
HN120021220111001450000000000000000000チヨカゼ　　　　　　　　　　　　　　ﾁﾖｶｾﾞ                                   Chiyokaze                                                                       1946110300000岩手県　　　　　　　1110000112000244
HN120021220111001550000000000000000000タカラザン　　　　　　　　　　　　　ﾀｶﾗｻﾞﾝ                                  Takarazan                                                                       1948110300000門別町　　　　　　　1110017912100171
HN120021220111001650000000000000000000カズチカラ　　　　　　　　　　　　　ｶｽﾞﾁｶﾗ                                  Kazu Chikara                                                                    1951110300000門別町　　　　　　　1110018212100172
HN120021220111001750000000000000000000ダイオライト　　　　　　　　　　　　ﾀﾞｲｵﾗｲﾄ                                 Diolite                                                                         1927110490000英　　　　　　　　　1130093100000000
HN120021220111001850000000000000000000マツミドリ　　　　　　　　　　　　　ﾏﾂﾐﾄﾞﾘ                                  Matsu Midori                                                                    1944110300000青森県　　　　　　　1110001912000219
HN120021220111001950000000000000000000シマタカ　　　　　　　　　　　　　　ｼﾏﾀｶ                                    Shimataka                                                                       1944110300000岩手県　　　　　　　1110000212100052
HN120021220111002350000000000000000000タビト　　　　　　　　　　　　　　　ﾀﾋﾞﾄ                                    Tobit                                                                           1945110300000岩手県　　　　　　　1110000112100049
HN120021220111002450000000000000000000ケイザン　　　　　　　　　　　　　　ｹｲｻﾞﾝ                                   Keizan                                                                          1944110300000豊浦町　　　　　　　1110017912000175
HN120021220111002550000000000000000000ヤシママンナ　　　　　　　　　　　　ﾔｼﾏﾏﾝﾅ                                  Yashima Manna                                                                   1950110400000浦河町　　　　　　　1110000212100052
HN120021220111002750000000000000000000ミネノスガタ　　　　　　　　　　　　ﾐﾈﾉｽｶﾞﾀ                                 Mineno Sugata                                                                   1950110100000青森県　　　　　　　1110013012100310
HN120021220111002950000000000000000000ヤマハタ　　　　　　　　　　　　　　ﾔﾏﾊﾀ                                    Yamahata                                                                        1950110100000浦河町　　　　　　　1110018112100152
HN120021220111003050000000000000000000アドミラルバード　　　　　　　　　　ｱﾄﾞﾐﾗﾙﾊﾞｰﾄﾞ                             Admiral Byrd                                                                    1952110430000英　　　　　　　　　1130049612403921
HN120021220111003150000000000000000000ケゴン　　　　　　　　　　　　　　　ｹｺﾞﾝ                                    Kegon                                                                           1952110100000三石町　　　　　　　1110000212100063
HN120021220111003350000000000000000000モリマツ　　　　　　　　　　　　　　ﾓﾘﾏﾂ                                    Morimatsu                                                                       1949110400000千葉県　　　　　　　1110019112100077
HN120021220111003450000000000000000000トヨタニ　　　　　　　　　　　　　　ﾄﾖﾀﾆ                                    Toyotani                                                                        1952110300000千葉県　　　　　　　1110000912100377
HN120021220111003550000000000000000000コザツクオー　　　　　　　　　　　　ｺｻﾞﾂｸｵｰ                                 Cossack O                                                                       1952110300000豊浦町　　　　　　　1110000612100254
HN120021220111003650000000000000000000ヒシリユウ　　　　　　　　　　　　　ﾋｼﾘﾕｳ                                   Hishiryu                                                                        1954110400000門別町　　　　　　　1110007912100323
HN120021220111003850000000000000000000マサタカラ　　　　　　　　　　　　　ﾏｻﾀｶﾗ                                                                                                                   1954110310000浦河町　　　　　　　1130073412101034
HN120021220111003950000000000000000000トツプラン　　　　　　　　　　　　　ﾄﾂﾌﾟﾗﾝ                                  Top Run                                                                         1954110110000浦河町　　　　　　　1130020812101024
HN120021220111004250000000000000000000フクノボル　　　　　　　　　　　　　ﾌｸﾉﾎﾞﾙ                                  Fuku Noboru                                                                     1951110330000新　　　　　　　　　1130107812403953
HN120021220111004350000000000000000000ライジングウイナー　　　　　　　　　ﾗｲｼﾞﾝｸﾞｳｲﾅｰ                             Rising Winner                                                                   1954110300000静内町　　　　　　　1110007912100445
HN120021220111004650000000000000000000ワンダービー　　　　　　　　　　　　ﾜﾝﾀﾞｰﾋﾞｰ                                Can't Return                                                                    1950110430000米　　　　　　　　　1130110312403971
HN120021220111004750000000000000000000インデニア　　　　　　　　　　　　　ｲﾝﾃﾞﾆｱ                                  Indenia                                                                         1956110310000千葉県　　　　　　　1130111112101285
HN120021220111004850000000000000000000フアストキング　　　　　　　　　　　ﾌｱｽﾄｷﾝｸﾞ                                Fast King                                                                       1954110400000千葉県　　　　　　　1110000712100029
HN120021220111005050000000000000000000アポツスル　　　　　　　　　　　　　ｱﾎﾟﾂｽﾙ                                  Apostle                                                                         1957110430000英　　　　　　　　　1130024112403999
HN120021220111005350000000000000000000ユアハイネス　　　　　　　　　　　　ﾕｱﾊｲﾈｽ                                  Your Highness                                                                   1958110130000英　　　　　　　　　1130026712401557
HN120021220111005750000000000000000000ダラノーア　　　　　　　　　　　　　ﾀﾞﾗﾉｰｱ                                  Darannour                                                                       1960110430000仏　　　　　　　　　1130063712404037
HN120021220111005850000000000000000000アトランテイス　　　　　　　　　　　ｱﾄﾗﾝﾃｲｽ                                 Atlantis                                                                        1959110330000愛　　　　　　　　　1130015012300139
HN120021220111006350000000000000000000リユウフオーレル　　　　　　　　　　ﾘﾕｳﾌｵｰﾚﾙ                                Ryu Forel                                                                       1959110300000浦河町　　　　　　　1110026312101466
