UM12004020219781000291198003211980070919780330エリモプリンス　　　　　　　　　　　ｴﾘﾓﾌﾟﾘﾝｽ                                                                                        0                   03110411200243エリモオー　　　　　　　　　　　　　12211093エースプリンシパル　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100931プリンシパルボーイ　　　　　　　　　12107875シルリアン　　　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11100928プリメラ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100073タカクラヤマ　　　　　　　　　　　　12102030アサカゼ　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　500404小林　良助　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　603003山本　慎一　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000321198003211980081119780418エースホワイト　　　　　　　　　　　ｴｰｽﾎﾜｲﾄ                                                                                         0                   03110411200243エリモオー　　　　　　　　　　　　　12211799ホワイトスネーク　　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100806ニルコス　　　　　　　　　　　　　　12107338ハーバードウヤ　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11301148La Varende                          00000000　　　　　　　　　　　　　　　　　　11100565ラヴアンダン　　　　　　　　　　　　12103877ニシサン　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　100404江藤　正幸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　101005増田　房二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000401198104171981062919780226キョウエイミリンダ　　　　　　　　　ｷｮｳｴｲﾐﾘﾝﾀﾞ                          Kyoei Milinda(USA)                                          0                   06110311300353Exclusive Native                    12301690London Derry Air                    11300169Raise a Native                      12400921Exclusive                           11300516Olympia                             12301691Trustworthy                         11300494Native Dancer                       12402372Raise You                           11400482Shut Out                            12401222Good Example                        11300403Heliopolis                          12401873Miss Dolphin                        11300490My Babu                             12403397Implicit Trust                      100178境勝太郎　　　　　　　　　　700807Mr.and Mrs.S.H.Rogers Jr                                              米　　　　　　　　　804001松岡　正雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781000441198003171982030519780509カネクラキング　　　　　　　　　　　ｶﾈｸﾗｷﾝｸﾞ                            Kanekura King(JPN)                                          0                   00110311200007グツドリー　　　　　　　　　　　　　12106067ローヤルチエリー　　　　　　　　　　11200084スノツブ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100271ロイヤルウツド　　　　　　　　　　　12101881クインメリー　　　　　　　　　　　　11300761Mourne                              00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300692Underwood                           00000000　　　　　　　　　　　　　　　　　　11301443Swen                                12302212Mira Maid                           200236谷八郎　　　　　　　　　　　100177服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　046005服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　000166400000000000000000734000000000000034500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000451198004011982032619780521セイザンファスト　　　　　　　　　　ｾｲｻﾞﾝﾌｧｽﾄ                           Seizan Fast(JPN)                                            0                   04110411200183ソシアス　　　　　　　　　　　　　　12107650パーセニア　　　　　　　　　　　　　11200009ネルシウス　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300100Never Say Die                       12300447Fair Virgin                         11301179Tenareze                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300493Nasrullah                           12402674Singing Grass                       11300356Fair Trial                          12403098Vestal Virgin                       200236谷八郎　　　　　　　　　　　000176小園　孝一　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　478005鋤元　節夫　　　　　　　　　　　　　　　　　　　　　　　　　　　000007500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000491198004281980120419780310ヤンググッドリー　　　　　　　　　　ﾔﾝｸﾞｸﾞｯﾄﾞﾘｰ                                                                                     0                   04110311200007グツドリー　　　　　　　　　　　　　12201364ミシマホープ　　　　　　　　　　　　11200084スノツブ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100248ハクリヨウ　　　　　　　　　　　　　12103822ミスアヤコ　　　　　　　　　　　　　11300761Mourne                              00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100002プリメロ　　　　　　　　　　　　　　12100058第四バツカナムビユーチー　　　　　　11100409ガルカドール　　　　　　　　　　　　12102212テツノミツル　　　　　　　　　　　　200205杉村一馬　　　　　　　　　　500178吉原　勇雄　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　175003梶原　重雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000551198004281980102219780407ヤツキキング　　　　　　　　　　　　ﾔﾂｷｷﾝｸﾞ                                                                                         0                   00110311200162アンバロイド　　　　　　　　　　　　12102837トキツヒカリ　　　　　　　　　　　　11300291Count Amber                         00000000　　　　　　　　　　　　　　　　　　11100314オートキツ　　　　　　　　　　　　　12101564ダイレン　　　　　　　　　　　　　　11300200Ambiorix                            12402360Quick Touch                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100096月友　　　　　　　　　　　　　　　　12100457トキツカゼ　　　　　　　　　　　　　11100007ミルトン　　　　　　　　　　　　　　12100696イヴオンヌフオツクス　　　　　　　　200148梶与三男　　　　　　　　　　800179屋附　正男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　046005服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　000007300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781000731198005221981040819780407シルバーオー　　　　　　　　　　　　ｼﾙﾊﾞｰｵｰ                             Silver O(JPN)                                               0                   00110311200183ソシアス　　　　　　　　　　　　　　12200767フアイナルパール　　　　　　　　　　11200009ネルシウス　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300231Better Boy                          12300966Pearl Princess                      11301179Tenareze                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300490My Babu                             12400298Better So                           11300129Prince Taj                          12401014Filisparsa                          200180坂口正大　　　　　　　　　　700186シルバーフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　455005笠茂　国夫　　　　　　　　　　　　　　　　　　　　　　　　　　　000076700000000000000000120000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000831198004071981121619780510ラビットハーレイ　　　　　　　　　　ﾗﾋﾞｯﾄﾊｰﾚｲ                           Rabbit Harley(JPN)                                          0                   03110711200333オサイチテツト　　　　　　　　　　　12200924シエイクアウエー　　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12108830アクトナウ　　　　　　　　　　　　　11300547Power House                         12301432Cha Cha                             11300075Swaps                               00000000　　　　　　　　　　　　　　　　　　11300010Alcide                              12300234Bride Elect                         11301018Royal Charger                       12401457Journeys End                        11300433Khorassan                           12404450Hinaroa                             100170古賀末喜　　　　　　　　　　100187富崎牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　390009喜多村　辰子　　　　　　　　　　　　　　　　　　　　　　　　　　000049500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781000951198002261982040719780312アメリカンウエン　　　　　　　　　　ｱﾒﾘｶﾝｳｴﾝ                            American Wen(JPN)                                           0                   04110411200183ソシアス　　　　　　　　　　　　　　12202331ミノカオー　　　　　　　　　　　　　11200009ネルシウス　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100705シンドン　　　　　　　　　　　　　　12104705ミスマウンテン　　　　　　　　　　　11301179Tenareze                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300722Hyperbole                           00000000　　　　　　　　　　　　　　　　　　11100249ボストニアン　　　　　　　　　　　　12101155シウンザン　　　　　　　　　　　　　200181坂田正行　　　　　　　　　　600187松元　登　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　533004上野　助治　　　　　　　　　　　　　　　　　　　　　　　　　　　000284700000000000000001092000000000000054500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000981198004281981071519780415コマブライト　　　　　　　　　　　　ｺﾏﾌﾞﾗｲﾄ                             Koma Bright(JPN)                                            0                   03110111200334ミリオンパラ　　　　　　　　　　　　12211332トツプローズ　　　　　　　　　　　　11100716バウンドレス　　　　　　　　　　　　12101528コンゴーセキ　　　　　　　　　　　　11100925ロムルス　　　　　　　　　　　　　　12104185トツプオーナ　　　　　　　　　　　　11300649Targui                              00000000　　　　　　　　　　　　　　　　　　11100058ヴイーノーピユロー　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11300581Ribot                               00000000　　　　　　　　　　　　　　　　　　11100249ボストニアン　　　　　　　　　　　　12101128ホーテントツプ　　　　　　　　　　　200185佐藤勇　　　　　　　　　　　600188草牟田　義光　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　436800駒秀　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781001011198011271981012119780503アクトパワー　　　　　　　　　　　　ｱｸﾄﾊﾟﾜｰ                             Act Power(JPN)                                              0                   00110511200183ソシアス　　　　　　　　　　　　　　12108830アクトナウ　　　　　　　　　　　　　11200009ネルシウス　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300010Alcide                              12300234Bride Elect                         11301179Tenareze                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300197Alycidon                            12300289Chenille                            11300235Big Game                            12402030Netherton Maid                      200212瀬戸口勉　　　　　　　　　　410188釘田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　876005釘田　スミエ　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
