UM42006061419801000361198205131985011719800510ナンプウタイム　　　　　　　　　　　ﾅﾝﾌﾟｳﾀｲﾑ                            Nampu Time(JPN)                                             0                   03210311200402ライジン　　　　　　　　　　　　　　12214636ヒサゴスキー　　　　　　　　　　　　11100795テスコボーイ　　　　　　　　　　　　12105595モリノサワ　　　　　　　　　　　　　11200149ミンスキー　　　　　　　　　　　　　12208356ステーツクイン　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100091ゲイタイム　　　　　　　　　　　　　12100999朝島　　　　　　　　　　　　　　　　11300102Northern Dancer                     00000000　　　　　　　　　　　　　　　　　　11100796ブランブルー　　　　　　　　　　　　12104686ミチトミ　　　　　　　　　　　　　　200212瀬戸口勉　　　　　　　　　　330186笠茂牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　162005笠茂　重信　　　　　　　　　　　　　　　　　　　　　　　　　　　000217100000010000000000610000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000411198205311982091319800413シルバーサツキ　　　　　　　　　　　ｼﾙﾊﾞｰｻﾂｷ                            Silver Satsuki(JPN)                                         0                   03210111101069タニノムーテイエ　　　　　　　　　　12214632カブラツプフレーム　　　　　　　　　11100689ムーテイエ　　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100331カバーラツプ二世　　　　　　　　　　12106677ライクイン　　　　　　　　　　　　　11300611Sicambre                            00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300297Cover Up                            00000000　　　　　　　　　　　　　　　　　　11100079ライジングフレーム　　　　　　　　　12101471タカクイン　　　　　　　　　　　　　200180坂口正大　　　　　　　　　　700186シルバーフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　455005笠茂　国夫　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000421198205311982121619800519センシュウターボ　　　　　　　　　　ｾﾝｼｭｳﾀｰﾎﾞ                           Senshu Turbo(JPN)                                           0                   03210311101069タニノムーテイエ　　　　　　　　　　12200416ゲイシンナ　　　　　　　　　　　　　11100689ムーテイエ　　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100933ミステリー　　　　　　　　　　　　　12301504Celebrar                            11300611Sicambre                            00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300150Milesian                            00000000　　　　　　　　　　　　　　　　　　11300326Dogger Bank                         12404045Celebration                         200295星川薫　　　　　　　　　　　700186シルバーフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　442009池宮　勝昭　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000471198205131983120519800429ネローシャルマン　　　　　　　　　　ﾈﾛｰｼｬﾙﾏﾝ                            Nero Charmant(JPN)                                          0                   03210311200390シルバーネロ　　　　　　　　　　　　12212840エリモシヤルマン　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12104463インサイドストーリー　　　　　　　　11200106エリモホーク　　　　　　　　　　　　12202783ジエノヴエヴア　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　11300095Narrator                            12300080Alcatraz                            11200138シーホーク　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100863パーシア　　　　　　　　　　　　　　12300533Ghana                               200309松元正雄　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000034000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000571198206031982090819800312アメリカンハート　　　　　　　　　　ｱﾒﾘｶﾝﾊｰﾄ                            American Hart(JPN)                                          0                   00210111200479スピリツトスワプス　　　　　　　　　12202331ミノカオー　　　　　　　　　　　　　11300075Swaps                               12300013Candela                             11100705シンドン　　　　　　　　　　　　　　12104705ミスマウンテン　　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11300722Hyperbole                           00000000　　　　　　　　　　　　　　　　　　11100249ボストニアン　　　　　　　　　　　　12101155シウンザン　　　　　　　　　　　　　200111池田三郎　　　　　　　　　　600187松元　登　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　533004上野　助治　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000611198203051982122919800526ケンテルエース　　　　　　　　　　　ｹﾝﾃﾙｴｰｽ                             Kenteru Ace(JPN)                                            0                   08210711200390シルバーネロ　　　　　　　　　　　　12214639ニクサアクイン　　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12104463インサイドストーリー　　　　　　　　11200072ニクサー　　　　　　　　　　　　　　12201660ニルコスクイン　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　11300095Narrator                            12300080Alcatraz                            11300445Le Haar                             00000000　　　　　　　　　　　　　　　　　　11100806ニルコス　　　　　　　　　　　　　　12106289テツクイン　　　　　　　　　　　　　200259中村覚之　　　　　　　　　　400400吉永　清人　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　553009下村　健造　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000661198204281983032819800303サザンエクセル　　　　　　　　　　　ｻｻﾞﾝｴｸｾﾙ                            Southern Excel(JPN)                                         0                   03210311101069タニノムーテイエ　　　　　　　　　　12207213タイヘイリウジン　　　　　　　　　　11100689ムーテイエ　　　　　　　　　　　　　12104612タニノチエリ　　　　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12101987アダン　　　　　　　　　　　　　　　11300611Sicambre                            00000000　　　　　　　　　　　　　　　　　　11100458テイエポロ　　　　　　　　　　　　　12101238シーマン　　　　　　　　　　　　　　11300075Swaps                               00000000　　　　　　　　　　　　　　　　　　11100033アサフジ　　　　　　　　　　　　　　12100754サイスパー　　　　　　　　　　　　　200236谷八郎　　　　　　　　　　　500186釘田フアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　476009釘田　静義　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000701198205311983032419800327エコーロード　　　　　　　　　　　　ｴｺｰﾛｰﾄﾞ                             Echo Road(JPN)                                              0                   03210111200334ミリオンパラ　　　　　　　　　　　　12210164トリコロール　　　　　　　　　　　　11100716バウンドレス　　　　　　　　　　　　12101528コンゴーセキ　　　　　　　　　　　　11300128Breakspear                          12108831アンブレツト　　　　　　　　　　　　11300649Targui                              00000000　　　　　　　　　　　　　　　　　　11100058ヴイーノーピユロー　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11300247Bold Ruler                          12405074Pocket Edition                      11300691Umberto                             12300425Equation                            200237田之上勲　　　　　　　　　　400400吉永　清人　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000771198206091983090819800318サツマキジン　　　　　　　　　　　　ｻﾂﾏｷｼﾞﾝ                             Satsuma Kijin(JPN)                                          0                   03210311200334ミリオンパラ　　　　　　　　　　　　12211336フジキジン　　　　　　　　　　　　　11100716バウンドレス　　　　　　　　　　　　12101528コンゴーセキ　　　　　　　　　　　　11101068メイジシロー　　　　　　　　　　　　12105970カツヨウヒメ　　　　　　　　　　　　11300649Targui                              00000000　　　　　　　　　　　　　　　　　　11100058ヴイーノーピユロー　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11300048Grey Sovereign                      12103900トリーモス　　　　　　　　　　　　　11100271ロイヤルウツド　　　　　　　　　　　12101881クインメリー　　　　　　　　　　　　200177斉藤義美　　　　　　　　　　200400吉永　等　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　511009吉永　藤雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000781198210061983040419800527ヒミコレディ　　　　　　　　　　　　ﾋﾐｺﾚﾃﾞｨ                             Himiko Lady(JPN)                                            0                   00210111200479スピリツトスワプス　　　　　　　　　12206469ケンメイ　　　　　　　　　　　　　　11300075Swaps                               12300013Candela                             11100328テツノチカラ　　　　　　　　　　　　12105970カツヨウヒメ　　　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11301024Free For All                        00000000　　　　　　　　　　　　　　　　　　11100271ロイヤルウツド　　　　　　　　　　　12101881クインメリー　　　　　　　　　　　　200177斉藤義美　　　　　　　　　　630400吉永牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　511009吉永　藤雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219801000921198204021983040319800411スピリットスター　　　　　　　　　　ｽﾋﾟﾘｯﾄｽﾀｰ                           Spirit Star(JPN)                                            0                   00210111200479スピリツトスワプス　　　　　　　　　12108837ライトラツシー　　　　　　　　　　　11300075Swaps                               12300013Candela                             11300156Right Boy                           12300389Dornoch                             11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11400238Impeccable                          12401269Happy Ogan                          11400942King Legend                         12404510Colombelle                          200148梶与三男　　　　　　　　　　100177服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　046005服部　文男　　　　　　　　　　　　　　　　　　　　　　　　　　　000017300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
