UM12004020219831000051198505211985122519830325オスズボーイ　　　　　　　　　　　　ｵｽｽﾞﾎﾞｰｲ                            Osuzu Boy(JPN)                                              0                   03110311200478ニツポーキング　　　　　　　　　　　12213628ロワイヤル　　　　　　　　　　　　　11200019プロント　　　　　　　　　　　　　　12108409ミスマルミチ　　　　　　　　　　　　11100816ターキン　　　　　　　　　　　　　　12104972ハナドール　　　　　　　　　　　　　11300129Prince Taj                          12401531La Caravelle                        11100568ネヴアービート　　　　　　　　　　　12102996キユーピツト　　　　　　　　　　　　11300604Scratch                             12401624La Taglioni                         11100506ガバドール　　　　　　　　　　　　　12102601ハナオー　　　　　　　　　　　　　　200251中尾謙太　　　　　　　　　　800170仕田　フサ子　　　　　　　　　　　　　　　　　　　　　　　　　　　　　宮崎県　　　　　　　502800川南牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　000012500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419831000311198505211986100319830325ハヤトシリウス　　　　　　　　　　　ﾊﾔﾄｼﾘｳｽ                             Hayato Sirius(JPN)                                          0                   00110211200560アンズプリテンダー　　　　　　　　　12204014エリモビーバー　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100798ラークスパー　　　　　　　　　　　　12106092ヤマヒカリ　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300100Never Say Die                       12404088Skylarking                          11100362カリム　　　　　　　　　　　　　　　12101530ビーバー　　　　　　　　　　　　　　200309松元正雄　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000117500000000000000000000000000000000018500000000000001000001001002007001000001001002007000000000000000000000000000000001004000000000000000001000000000000000000001000001001001002000000000000000000000000000000000000000000000000000003000000000000000001000000000000000000000000000000001001001000001001001001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001004000000000000000000001000000000000000000000001001001002000000000000000000000004005003012
UM12004020219831000321198505211985111619830529ハヤトオリオン　　　　　　　　　　　ﾊﾔﾄｵﾘｵﾝ                             Hayato Orion(JPN)                                           0                   00110311200560アンズプリテンダー　　　　　　　　　12210165カリーナホリデー　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100744フイダルゴ　　　　　　　　　　　　　12107897プレイガイドアーサ　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11301147Arctic Star                         12403464Miss France                         11100263ヒンドスタン　　　　　　　　　　　　12101152プレイガイドムーン　　　　　　　　　200232田中康三　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419831000331198505211986100419830429ハヤトカルデラ　　　　　　　　　　　ﾊﾔﾄｶﾙﾃﾞﾗ                            Hayato Caldera(JPN)                                         0                   00110311200560アンズプリテンダー　　　　　　　　　12213819フラワーフラツシユ　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200046ソデイアム　　　　　　　　　　　　　12208255パツシングフラワー　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300064Psidium                             12401141Gambade                             11100931プリンシパルボーイ　　　　　　　　　12107191パツシング　　　　　　　　　　　　　200309松元正雄　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000072000000023900000000000000000000000009000000000000000000001001001004000000001001001004000000000000000000000000000001000001000000000000000000000000000000000000000000000000000001000000000000000000000000001000001002000000000000000001000000000000000000000000000000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000001001000000000000000000000000000000000000000000000000000001000000000000000000000000000001000001000000000000000000000000000000000001000000000000000000000000000000000000000003002002007
UM12004020219831000351198505211986062019830526サザンクルセダー　　　　　　　　　　ｻｻﾞﾝｸﾙｾﾀﾞｰ                          Southern Crusader(JPN)                                      0                   00110211200560アンズプリテンダー　　　　　　　　　12207146カリーナレデイ　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100753ハクズイコウ　　　　　　　　　　　　12101814ヒロカツラ　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300421Imbros                              12102058マツサリア　　　　　　　　　　　　　11100002プリメロ　　　　　　　　　　　　　　12100615ツバクロ　　　　　　　　　　　　　　200236谷八郎　　　　　　　　　　　500186釘田フアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　476009釘田　静義　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001
UM12004020219831000441198505231985071719830423シンコールイス　　　　　　　　　　　ｼﾝｺｰﾙｲｽ                             Shinko Lewis(JPN)                                           0                   03110311200333オサイチテツト　　　　　　　　　　　12202331ミノカオー　　　　　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12108830アクトナウ　　　　　　　　　　　　　11100705シンドン　　　　　　　　　　　　　　12104705ミスマウンテン　　　　　　　　　　　11300075Swaps                               12300438Explorer                            11300010Alcide                              12300234Bride Elect                         11300722Hyperbole                           12404082Cotton Wool                         11100249ボストニアン　　　　　　　　　　　　12101155シウンザン　　　　　　　　　　　　　200191鹿戸幸治　　　　　　　　　　600187松元　登　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　256009新保　松二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000541198505211986031919830323ハマナボーイ　　　　　　　　　　　　ﾊﾏﾅﾎﾞｰｲ                             Hamana Boy(JPN)                                             0                   03110411200333オサイチテツト　　　　　　　　　　　12214638エリモグローリ　　　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12108830アクトナウ　　　　　　　　　　　　　11200163ゲイサン　　　　　　　　　　　　　　12201414ヴエレジア　　　　　　　　　　　　　11300075Swaps                               12300438Explorer                            11300010Alcide                              12300234Bride Elect                         11300602Sanctus                             12401153Gay Comtessa                        11300696Vieux Manoir                        12300746Lobelia                             200354新井仁　　　　　　　　　　　900188釘田　義美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　731009伊藤　仁　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001001
UM12004020219831000581198505211985090419830330センシュウシグマ　　　　　　　　　　ｾﾝｼｭｳｼｸﾞﾏ                           Senshu Sigma(JPN)                                           0                   00110111200560アンズプリテンダー　　　　　　　　　12214633センシユウイチ　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200012シユーテイングチヤント　　　　　　　12108829ジエツテイ　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300090Tudor Melody                        12404227Bally Tickle                        11400572Vimy                                12300660Jet Plane                           200212瀬戸口勉　　　　　　　　　　700186シルバーフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　442009池宮　勝昭　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000601198505231986032619830304ヨシノコンゴー　　　　　　　　　　　ﾖｼﾉｺﾝｺﾞｰ                            Yoshino Kongo(JPN)                                          0                   03110411200619テルテンリユウ　　　　　　　　　　　12212320コスモパレード　　　　　　　　　　　11200244ロングエース　　　　　　　　　　　　12203503フミノチエリー　　　　　　　　　　　11300133Behistoun                           12202860ヨール　　　　　　　　　　　　　　　11100800ハードリドン　　　　　　　　　　　　12106146ウインジエスト　　　　　　　　　　　11100507ガーサント　　　　　　　　　　　　　12105948キヌコ　　　　　　　　　　　　　　　11300027O'Grady                             12300185Beotie                              11300028Aureole                             12301608Yola                                200357佐山優　　　　　　　　　　　730188園田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　475009吉永　清人　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001001
UM12004020219831000641198505231986040219830326シンコーファスト　　　　　　　　　　ｼﾝｺｰﾌｧｽﾄ                            Shinko Fast(JPN)                                            0                   00110111200479スピリツトスワプス　　　　　　　　　12218360フアインブルボン　　　　　　　　　　11300075Swaps                               12300013Candela                             11200222モバリツズ　　　　　　　　　　　　　12206243フアインパノラマ　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11300069Sing Sing                           12401972Musaka                              11100730サウンドトラツク　　　　　　　　　　12102524クロヴアーハネー　　　　　　　　　　200342土門一美　　　　　　　　　　000400新保　登代重　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　256009新保　松二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419831000661198505231987061219830418ハイエストリーダー　　　　　　　　　ﾊｲｴｽﾄﾘｰﾀﾞｰ                          Highest Leader(JPN)                                         0                   00310111200560アンズプリテンダー　　　　　　　　　12218361ハイストロード　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200017ロードリージ　　　　　　　　　　　　12104840ハジメクイン　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300055Sir Gaylord                         12302534Attica                              11100449ゴールドアロー　　　　　　　　　　　12102223チカラリユウ　　　　　　　　　　　　200237田之上勲　　　　　　　　　　500400吉永　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000091000000000000000000244000000000000020000000000000000000000000000007000000000000000007000000000000000000000000000000000004000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000003000000000000000000000000000000000001000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000003000000000000000000000000000000000000000000000000000003000000000000000000000001000006007
