UM12004020219831000071198505211986032119830329ナンゴクジョオー　　　　　　　　　　ﾅﾝｺﾞｸｼﾞｮｵｰ                          Nangoku Jo O(JPN)                                           0                   03210111200642アグネスホープ　　　　　　　　　　　12217416カンヌシチー　　　　　　　　　　　　11100576パーソロン　　　　　　　　　　　　　12205066ピエザリンダ　　　　　　　　　　　　11200302ジヨツギング　　　　　　　　　　　　12103992ハリー　　　　　　　　　　　　　　　11300150Milesian                            12404038Paleo                               11300540Pieces of Eight                     12300135Ash                                 11300075Swaps                               12400797Doricharger                         11100020ミナミホマレ　　　　　　　　　　　　12101495コウラク　　　　　　　　　　　　　　200293布施正　　　　　　　　　　　800446仁田脇　檍　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　宮崎県　　　　　　　617009仁田脇　彰　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419831000251198505211986040219830523イチライサクラ　　　　　　　　　　　ｲﾁﾗｲｻｸﾗ                             Ichirai Sakura(JPN)                                         0                   00210111200560アンズプリテンダー　　　　　　　　　12210377トキツザクラ　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100806ニルコス　　　　　　　　　　　　　　12106285スカイリー　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11301148La Varende                          12403662First One                           11100537マーチウインド　　　　　　　　　　　12102913トキツチカラ　　　　　　　　　　　　200131梅田康雄　　　　　　　　　　200182市来　静夫　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　259009市来　静夫　　　　　　　　　　　　　　　　　　　　　　　　　　　000065200000000000000000000000000000000018500000000000000000000000000005000000000000000005000000000000000000000000000000000002000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000002000000000000000001000000000000000000001000000004005
UM12004020219831000261198510161986042019830529アヤノリマンド　　　　　　　　　　　ｱﾔﾉﾘﾏﾝﾄﾞ                            Ayano Remand(JPN)                                           0                   03210411200620タマモリマンド　　　　　　　　　　　12206427ミナミダケ　　　　　　　　　　　　　11100960リマンド　　　　　　　　　　　　　　12201127イコマエイカン　　　　　　　　　　　11100754フアラモンド　　　　　　　　　　　　12103601ヒビキ　　　　　　　　　　　　　　　11300010Alcide                              12403231Admonish                            11300601Sallymount                          12105260ヘザーランズ　　　　　　　　　　　　11300611Sicambre                            12402368Rain                                11100330ヤサカ　　　　　　　　　　　　　　　12101541ブゼンタマリユウ　　　　　　　　　　200195柴田不二　　　　　　　　　　500182伊東　政清　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　748001神田　薫　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000291198504241985101619830405ナンプウショウリ　　　　　　　　　　ﾅﾝﾌﾟｳｼｮｳﾘ                           Nampu Shori(JPN)                                            0                   00210111200479スピリツトスワプス　　　　　　　　　12205457チエスターダイヤ　　　　　　　　　　11300075Swaps                               12300013Candela                             11100900ポリツク　　　　　　　　　　　　　　12105576ゴルトソーギヨウ　　　　　　　　　　11300432Khaled                              12301948Iron Reward                         11300658The Rabbi                           12300318Congracia                           11300172Relic                               12402270Polaire                             11100458テイエポロ　　　　　　　　　　　　　12102236風統　　　　　　　　　　　　　　　　200212瀬戸口勉　　　　　　　　　　330186笠茂牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　162005笠茂　重信　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419831000301198505211986050819830306ハヤトグリーン　　　　　　　　　　　ﾊﾔﾄｸﾞﾘｰﾝ                            Hayato Green(JPN)                                           0                   00210311200560アンズプリテンダー　　　　　　　　　12213806アートカツプ　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200209エリモカツプ　　　　　　　　　　　　12200918ウールー　　　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11100263ヒンドスタン　　　　　　　　　　　　12104838ゴールデンキー　　　　　　　　　　　11300537Petition                            12301011Postscript                          200309松元正雄　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000042900000000000000000000000000000000018500000000000001000000000001002001000000000001002000000000000000000001000000000000001000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000001000000000000000000000000000000001001000000000000000000000000000000000000003001000000004
UM12004020219831000401198505211985111519830219ユウショウタハラ　　　　　　　　　　ﾕｳｼｮｳﾀﾊﾗ                            Yusho Tahara(JPN)                                           0                   03210311200267リボオール　　　　　　　　　　　　　12202334シユンサククイン　　　　　　　　　　11400711Ribero                              12108836パラスアテネ　　　　　　　　　　　　11100645アウトリガー　　　　　　　　　　　　12102169ブラツクカーランド　　　　　　　　　11300581Ribot                               12401656Libra                               11300116Pall Mall                           12300109Angelola                            11301013Polynesian                          12401220Good Blood                          11100007ミルトン　　　　　　　　　　　　　　12100783ニイアンドリア　　　　　　　　　　　200223武田作十　　　　　　　　　　300187田原牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　894009田原　幸男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000411198505211985072719830211タハライットウ　　　　　　　　　　　ﾀﾊﾗｲｯﾄｳ                             Tahara Itto(JPN)                                            0                   03210311200267リボオール　　　　　　　　　　　　　12212976タハラクイーン　　　　　　　　　　　11400711Ribero                              12108836パラスアテネ　　　　　　　　　　　　11200008ズグ　　　　　　　　　　　　　　　　12202244オーネラエース　　　　　　　　　　　11300581Ribot                               12401656Libra                               11300116Pall Mall                           12300109Angelola                            11300094Nasram                              12401703Lucerne                             11100618ヴイミー　　　　　　　　　　　　　　12101577ミスハンター　　　　　　　　　　　　200340安田伊佐　　　　　　　　　　300187田原牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　894009田原　幸男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219831000451198503271985050519830520ウイッチキャッスル　　　　　　　　　ｳｲｯﾁｷｬｯｽﾙ                           Witch Castle(JPN)                                           0                   03210711200540イワキオブキング　　　　　　　　　　12220056イワキスズラン　　　　　　　　　　　11300881King of the Castle                  12205071ヴエルヴエツトナイト　　　　　　　　11100806ニルコス　　　　　　　　　　　　　　12201799トシノプライド　　　　　　　　　　　11300247Bold Ruler                          12400096Ambulance                           11300162Reform                              12300420Empetrum                            11301148La Varende                          12403662First One                           11100492ロイヤルチヤレンヂヤー　　　　　　　12105436アカネプライド　　　　　　　　　　　200346境直行　　　　　　　　　　　600187松元　登　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　936005岩崎　喜好　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419831000481198505211986062019830404カシノアンズ　　　　　　　　　　　　ｶｼﾉｱﾝｽﾞ                             Kashino Anne's(JPN)                                         0                   00210111200560アンズプリテンダー　　　　　　　　　12213228トキノスワプス　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100923テイツトフオアタツト　　　　　　　　12105663ヒカルコウエン　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300075Swaps                               12300438Explorer                            11100314オートキツ　　　　　　　　　　　　　12102415ダイコウエン　　　　　　　　　　　　200288福永甲　　　　　　　　　　　100188柏木　務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　514009柏木　務　　　　　　　　　　　　　　　　　　　　　　　　　　　　000085500000000000000000000000000000000020000000000000000000001001000005000000001001000005000000000000000000000000001001000005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000003000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000003000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000001002002002007
UM42006061419831000511198505211987040819830421ミナミカチドキ　　　　　　　　　　　ﾐﾅﾐｶﾁﾄﾞｷ                            Minami Kachidoki(JPN)                                       0                   00210311200560アンズプリテンダー　　　　　　　　　12216817ハリマエース　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11200282トライバルチーフ　　　　　　　　　　12108367ミカズキヒカリ　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300558Princely Gift                       12302157Mwanza                              11100263ヒンドスタン　　　　　　　　　　　　12101702ダイロクカツフジ　　　　　　　　　　200108安藤正敏　　　　　　　　　　200188杉元　四男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　154005初田　豊　　　　　　　　　　　　　　　　　　　　　　　　　　　　000158900000000000000000110000000000000018500000000000001002004002001003001002004002001003000000000000000000001001002000000001000000002000000000000000000000000000000001000002000002000000000000001000000000000000000000001001003000000001000000000000000000000000001000000000000000000000000000000000000000001001000001000000000001000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001001004000000000000000000000000000000000000001000000000001000001001002000000000000000000000006004003013
UM42006061419831000521198505211986041919830312ウイニングテンダー　　　　　　　　　ｳｲﾆﾝｸﾞﾃﾝﾀﾞｰ                         Winning Tender(JPN)                                         0                   00210211200560アンズプリテンダー　　　　　　　　　12218355メジロカペラ　　　　　　　　　　　　11300807Pretense                            12302440Anne La Douce                       11100960リマンド　　　　　　　　　　　　　　12202527メジロムーン　　　　　　　　　　　　11300343Endeavour                           12401376Imitation                           11300612Silnet                              12403597Sweet Anne                          11300010Alcide                              12403231Admonish                            11100565ラヴアンダン　　　　　　　　　　　　12106694メジロボタン　　　　　　　　　　　　200110池江泰郎　　　　　　　　　　200188杉元　四男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　848009杉元　四男　　　　　　　　　　　　　　　　　　　　　　　　　　　000075200000000000000000000000000000000018500000000000000000000000000003000000000000000003000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000003003
