UM12004020219851000081198705211988020619850514テイエムフラワー　　　　　　　　　　ﾃｲｴﾑﾌﾗﾜｰ                            T.M.Flower(JPN)                                             0                   03210411200662モンテプリンス　　　　　　　　　　　12215096テンザンロマン　　　　　　　　　　　11200138シーホーク　　　　　　　　　　　　　12204725モンテオーカン　　　　　　　　　　　11100993フロリバンダ　　　　　　　　　　　　12201084ミスタカニシキ　　　　　　　　　　　11300405Herbager                            12402572Sea Nymph                           11100263ヒンドスタン　　　　　　　　　　　　12103789マリアドロ　　　　　　　　　　　　　11300558Princely Gift                       12400173Astrentia                           11100263ヒンドスタン　　　　　　　　　　　　12102583ミスハイクラス　　　　　　　　　　　200195柴田不二　　　　　　　　　　500182伊東　政清　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　356002竹園　正繼　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000005000000000000000005000000000000000000000000000000000004000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000003000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001000002002005
UM42006061419851000091198706111990090519850421マルシゲタケシバ　　　　　　　　　　ﾏﾙｼｹﾞﾀｹｼﾊﾞ                          Marushige Takeshiba(JPN)                                    0                   08210311100969タケシバオー　　　　　　　　　　　　12220559マルシゲソブリン　　　　　　　　　　11100457チヤイナロツク　　　　　　　　　　　12102382タカツナミ　　　　　　　　　　　　　11200421ラツキーソブリン　　　　　　　　　　12210981フアインルーラー　　　　　　　　　　11300586Rockefella                          12401807May Wong                            11100255ヤシママンナ　　　　　　　　　　　　12101127クニビキ　　　　　　　　　　　　　　11300096Nijinsky                            12403579Sovereign                           11200042コントライト　　　　　　　　　　　　12202561フアインメロデー　　　　　　　　　　200340安田伊佐　　　　　　　　　　500182伊東　政清　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　240009坂東島　繁藤　　　　　　　　　　　　　　　　　　　　　　　　　　000504900000000000000002780000000000000069500000000000003004002004003016003004002004003016000000000000000000003004001002002014000000001002001000000000000000000000000000000000000002000000000000000000000000000000000000002004002002002011001000000000001003000000000002000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003003002004003009000001000000000005000000000000000000000000000000000000000000000000000002000000000000000000004011012005032
UM12004020219851000101198706041988060519850614カツレディ　　　　　　　　　　　　　ｶﾂﾚﾃﾞｨ                              Katsu Lady(JPN)                                             0                   00210111200554ジヤツジヤー　　　　　　　　　　　　12202300アスカヤング　　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11100500シーフユリユー　　　　　　　　　　　12103680クリツバサの弐　　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11300611Sicambre                            12401296Hell's Fury                         11100149フランクリー　　　　　　　　　　　　12101511クリツバサ　　　　　　　　　　　　　200246土門健司　　　　　　　　　　600182今村　瑞昭　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　175003梶原　重雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219851000121198704231988092119850310カツウインド　　　　　　　　　　　　ｶﾂｳｲﾝﾄﾞ                             Katsu Wind(JPN)                                             0                   00210411200554ジヤツジヤー　　　　　　　　　　　　12219810ヤングウインド　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11100795テスコボーイ　　　　　　　　　　　　12210453カツマサホープ　　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11300558Princely Gift                       12302027Suncourt                            11100533ダイハード　　　　　　　　　　　　　12102021カツマサ　　　　　　　　　　　　　　200324柳田次男　　　　　　　　　　600182今村　瑞昭　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　175003梶原　重雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000000006000000000000000002000000000000000000000000000000000002000000000000000000000000000000000000000000000000000004000000000000000002000000000000000001000000000000000001000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007000000000000000001000000000000000000000000000000000002000000000000000000000000000000000000000001004005010
UM42006061419851000171198704301988082719850406ビゼンファースト　　　　　　　　　　ﾋﾞｾﾞﾝﾌｧｰｽﾄ                          Bizen Fast(JPN)                                             0                   03210311200747ヤマニンボールド　　　　　　　　　　12218369ノトサクラ　　　　　　　　　　　　　11200134ボールドリツク　　　　　　　　　　　12207128アンメンシヨナブル　　　　　　　　　11100993フロリバンダ　　　　　　　　　　　　12208349ハルサクラ　　　　　　　　　　　　　11300158Round Table                         12301338Two Cities                          11300112Buckpasser                          12300981Petticoat                           11300558Princely Gift                       12400173Astrentia                           11100568ネヴアービート　　　　　　　　　　　12102194ボジヨー　　　　　　　　　　　　　　200158北橋修二　　　　　　　　　　800187鹿屋吉田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　528009吉田　三郎　　　　　　　　　　　　　　　　　　　　　　　　　　　000051000000000000000000000000000000000020000000000000001000000000000006001000000000000006000000000000000000001000000000000005000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000003001000000000000002000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000002000000000000000003000000000000000000000000000000000001000000000000000000000000000000000000001000001005007
UM12004020219851000191198706041987082119850424アペリティフ　　　　　　　　　　　　ｱﾍﾟﾘﾃｨﾌ                             Aperitif(JPN)                                               0                   00210111200566フロステイエスキモー　　　　　　　　12202181ベルコウセイ　　　　　　　　　　　　11300497Nearctic                            12302444French Wind                         11100419ヒカルメイジ　　　　　　　　　　　　12107099ハマパス　　　　　　　　　　　　　　11300496Nearco                              12401544Lady Angela                         11400673Menetrier                           12403356Flaming Wind                        11300245Bois Roussel                        12101025イサベリーン　　　　　　　　　　　　11100532ニンバス　　　　　　　　　　　　　　12102644ハマユー　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　500186釘田フアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　476009釘田　静義　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000003000000000000000003000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001001003
UM42006061419851000201198711051990070719850526パリスドール　　　　　　　　　　　　ﾊﾟﾘｽﾄﾞｰﾙ                            Paris Doll(JPN)                                             0                   00210111200654ガロト　　　　　　　　　　　　　　　12210063マイフラワー　　　　　　　　　　　　11301153Lyphard                             12302524Spicy                               11100533ダイハード　　　　　　　　　　　　　12105673マキノサクラ　　　　　　　　　　　　11300102Northern Dancer                     12403380Goofed                              11300001I Say                               12403767Petite Marmite                      11300100Never Say Die                       12401914Mixed Blessing                      11300150Milesian                            12102278ラガパ　　　　　　　　　　　　　　　200177斉藤義美　　　　　　　　　　500186釘田フアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　476009釘田　静義　　　　　　　　　　　　　　　　　　　　　　　　　　　000157300000000000000000000000000000000035000000000000002000001002005021002000001002005021000000000000000000002000001002004017000000000000001001000000000000000000000000000000000000000000000000000003000000000000000000002000001001003011000000000001001003000000000000000003000000000000001001000000000000000001000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000002000001001005017000000000001000001000000000000000000000000000000000002000000000000000001000000000000000000000003018010031
UM12004020219851000221198705211987072319850517タハラクリアー　　　　　　　　　　　ﾀﾊﾗｸﾘｱｰ                             Tahara Clear(JPN)                                           0                   03210311200267リボオール　　　　　　　　　　　　　12212976タハラクイーン　　　　　　　　　　　11400711Ribero                              12108836パラスアテネ　　　　　　　　　　　　11200008ズグ　　　　　　　　　　　　　　　　12202244オーネラエース　　　　　　　　　　　11300581Ribot                               12401656Libra                               11300116Pall Mall                           12300109Angelola                            11300094Nasram                              12401703Lucerne                             11100618ヴイミー　　　　　　　　　　　　　　12101577ミスハンター　　　　　　　　　　　　200223武田作十　　　　　　　　　　300187田原牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　894009田原　幸男　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219851000311198705081988081019850402カシノローズ　　　　　　　　　　　　ｶｼﾉﾛｰｽﾞ                             Kashino Rose(JPN)                                           0                   03210311200333オサイチテツト　　　　　　　　　　　12212064ナスノネンリキ　　　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12108830アクトナウ　　　　　　　　　　　　　11101013フアバージ　　　　　　　　　　　　　12106936ダイイチハクサン　　　　　　　　　　11300075Swaps                               12300438Explorer                            11300010Alcide                              12300234Bride Elect                         11300558Princely Gift                       12302536Spring Offensive                    11100457チヤイナロツク　　　　　　　　　　　12101196コータミン　　　　　　　　　　　　　200288福永甲　　　　　　　　　　　800453柏木　森男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　514009柏木　務　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
UM12004020219851000351198705281988030319850429カシノブラック　　　　　　　　　　　ｶｼﾉﾌﾞﾗｯｸ                            Kashino Black(JPN)                                          0                   00210411200554ジヤツジヤー　　　　　　　　　　　　12218357ニツポースター　　　　　　　　　　　11300791Damascus                            12403346Face the Facts                      11200142サンシー　　　　　　　　　　　　　　12104133ハクオーシアン　　　　　　　　　　　11300642Sword Dancer                        12401487Kerala                              11300296Court Martial                       12403082Vashti                              11300602Sanctus                             12403202Wordys                              11100010トシシロ　　　　　　　　　　　　　　12101259ハクテン　　　　　　　　　　　　　　200203須貝彦三　　　　　　　　　　730188園田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　514009柏木　務　　　　　　　　　　　　　　　　　　　　　　　　　　　　000011400000000000000000000000000000000000000000000000000000000001001005000000000001001005000000000000000000000000000001001003000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000001000003000000000000001000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001002000000000000000001000000000000000000000000000000000002000000000000000000000000000000000000000001002004007
UM12004020219851000361198704171988030219850516クシラサンダー　　　　　　　　　　　ｸｼﾗｻﾝﾀﾞｰ                            Kushira Thunder(JPN)                                        0                   03210311200747ヤマニンボールド　　　　　　　　　　12219815サヨコサン　　　　　　　　　　　　　11200134ボールドリツク　　　　　　　　　　　12207128アンメンシヨナブル　　　　　　　　　11200007グツドリー　　　　　　　　　　　　　12107229サトーサンダー　　　　　　　　　　　11300158Round Table                         12301338Two Cities                          11300112Buckpasser                          12300981Petticoat                           11400494Snob                                12400064Alizetta                            11100584ロイヤルステイング　　　　　　　　　12102110フレームクイン　　　　　　　　　　　200338野元昭　　　　　　　　　　　800188竹之内　正光　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　106002釘田　浩志　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000003000000000000000003000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000002003
