UM92007043019981000121200112202007042719980419ウォーニングサルボ　　　　　　　　　ｳｫｰﾆﾝｸﾞｻﾙﾎﾞ                         Warning Salvo(JPN)                                          0                   00210311201611ウォーニング　　　　　　　　　　　　12240113ギザニア　　　　　　　　　　　　　　11400879Known Fact                          12410222Slightly Dangerous                  11300096Nijinsky                            12410481Foreign Missile                     11300852In Reality                          12404279Tamerett                            11301372Roberto                             12407601Where You Lead                      11300102Northern Dancer                     12401042Flaming Page                        11300791Damascus                            12410480Queen of the Sky                    100359高橋祥泰　　　　　　　　　　800320日高大洋牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　門別町　　　　　　　225007Ｈ．Ｊ．スィニー　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219981000351200012142001091519980530ドウカンファイバー　　　　　　　　　ﾄﾞｳｶﾝﾌｧｲﾊﾞｰ                         Dokan Fiber(JPN)                                            0                   03210411201016ダイナガリバー　　　　　　　　　　　12228445ドウカンルーラー　　　　　　　　　　11200291ノーザンテースト　　　　　　　　　　12207755ユアースポート　　　　　　　　　　　11200509キヤタオラ　　　　　　　　　　　　　12200120リーデングパート　　　　　　　　　　11300102Northern Dancer                     12302035Lady Victoria                       11100962バウンテイアス　　　　　　　　　　　12201961フアインサラ　　　　　　　　　　　　11300101Never Bend                          12302036Silent Beauty                       11100506ガバドール　　　　　　　　　　　　　12103797リユウカリム　　　　　　　　　　　　100352山田要一　　　　　　　　　　100333秋田農場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　455800新井興業　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419981000371200005182003041119980328エーピーサルート　　　　　　　　　　ｴｰﾋﾟｰｻﾙｰﾄ                           A.P.Salute(JPN)                                             0                   00210711201637エーピーダンサー　　　　　　　　　　12235024エーエージェント　　　　　　　　　　11401063Nureyev                             12410654Savonnerie                          11300394Grey Dawn                           12225644カリカチユーラ　　　　　　　　　　　11300102Northern Dancer                     12404854Special                             11401430Irish River                         12409628Patience Worth                      11300405Herbager                            12402271Polamia                             11400948Mr. Prospector                      12406138Straight Street                     101047勢司和浩　　　　　　　　　　430333秋田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　163800デルマークラブ　　　　　　　　　　　　　　　　　　　　　　　　　000595000000000000000007420000000000000130000000000000005002000000000007005002000000000007000000000000000000000000000000000001000000000000000000000000000000000000003001000000000004002001000000000002000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000004001000000000005000000000000000000000001000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000005002000000000006000000000000000000000000000000000000003003003005014
UM42006061419981000411200008032002032319980522ステラビギン　　　　　　　　　　　　ｽﾃﾗﾋﾞｷﾞﾝ                            Stellar Begin(JPN)                                          0                   04210411201261ジェイドロバリー　　　　　　　　　　12230470メインゲスト　　　　　　　　　　　　11400948Mr. Prospector                      12409046Number                              11200558ターゴワイス　　　　　　　　　　　　12220277ダイナアンバー　　　　　　　　　　　11300169Raise a Native                      12403815Gold Digger                         11300096Nijinsky                            12404854Special                             11300158Round Table                         12302438Matriarch                           11200291ノーザンテースト　　　　　　　　　　12203046クリアアンバー　　　　　　　　　　　101008杉浦宏昭　　　　　　　　　　430333秋田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　385800ゴールドレーシング　　　　　　　　　　　　　　　　　　　　　　　000075000000000000000000000000000000000020000000000000001000001000000002001000001000000002000000000000000000000000000000000001001000001000000000000000000000000000000000000000000001000000000000000000000000000000000000001000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000001000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000001001002000004
UM12004020219981000421200006082001042719980319ノボオーサム　　　　　　　　　　　　ﾉﾎﾞｵｰｻﾑ                             Nobo Awesome(JPN)                                           0                   04210311201398ゴールデンフェザント　　　　　　　　12230234メジロジュリアン　　　　　　　　　　11300863Caro                                12409481Perfect Pigeon                      11200632ヤマニンスキー　　　　　　　　　　　12216891メジロパンテーラ　　　　　　　　　　11400173Fortino                             12300279Chambord                            11300158Round Table                         12409480Pink Pigeon                         11300096Nijinsky                            12207128アンメンシヨナブル　　　　　　　　　11200028シヤトーゲイ　　　　　　　　　　　　12201117メジロハリマ　　　　　　　　　　　　201050飯田雄三　　　　　　　　　　430333秋田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　978800池ばた　　　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000004000000000000000004000000000000000000000000000000000001000000000000000001000000000000000000000000000000000002000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000002000000000000000000000001003000004
UM12004020219981000471200103152001090619980626カネツサンライズ　　　　　　　　　　ｶﾈﾂｻﾝﾗｲｽﾞ                           Kanetsu Sunrise(JPN)                                        0                   00210311201455コマンダーインチーフ　　　　　　　　12236211ゲストオブオナー　　　　　　　　　　11401909Dancing Brave                       12410222Slightly Dangerous                  11401217Fappiano                            12410873My Royal Guest                      11301153Lyphard                             12404806Navajo Princess                     11301372Roberto                             12407601Where You Lead                      11400948Mr. Prospector                      12405373Killaloe                            11400908Be My Guest                         12404846Royal Danseuse                      100352山田要一　　　　　　　　　　600330アサヒ牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　032800ローレルレーシング　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001
UM42006061419981000551200109192001092519980325ファッションカラー　　　　　　　　　ﾌｧｯｼｮﾝｶﾗｰ                           Fashion Color(JPN)                                          0                   21210311201259カコイーシーズ　　　　　　　　　　　12229555キョウエイフェア　　　　　　　　　　11401308Alydar                              12408780Careless Notion                     11200415マルゼンスキー　　　　　　　　　　　12217589ビクトリアーラツキ　　　　　　　　　11300169Raise a Native                      12402849Sweet Tooth                         11300071Jester                              12408779Miss Uppity                         11300096Nijinsky                            12205156シル　　　　　　　　　　　　　　　　11200172デユール　　　　　　　　　　　　　　12211191カバリルーラー　　　　　　　　　　　305085手島健児北海道　　　　　　　613343安達　洋生　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠　　　　　　　　616007市原　輝夫　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000017000000000000003003002004004008000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001024
UM42006061419981000611200107112001071719980328アラマサテンビー　　　　　　　　　　ｱﾗﾏｻﾃﾝﾋﾞｰ                           Aramasa Tenby(JPN)                                          0                   21210311201615テンビー　　　　　　　　　　　　　　12234314アラカイセイ　　　　　　　　　　　　11401191Caerleon                            12414244Shining Water                       11200284テユデナム　　　　　　　　　　　　　12212062ユウコ　　　　　　　　　　　　　　　11300096Nijinsky                            12405309Foreseer                            11403152Kalaglow                            12414243Idle Waters                         11300090Tudor Melody                        12300588Heath Rose                          11100806ニルコス　　　　　　　　　　　　　　12202454フラワースウイース　　　　　　　　　305085手島健児北海道　　　　　　　700330アラキフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠　　　　　　　　255007荒木　正博　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000011500000000000002001001002003011000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000001001020
UM12004020219981000621200008032002013019980302セタガヤウタヒメ　　　　　　　　　　ｾﾀｶﾞﾔｳﾀﾋﾒ                           Setagaya Utahime(JPN)                                       0                   03210311201622ナリタブライアン　　　　　　　　　　12228448アラホウトク　　　　　　　　　　　　11201164ブライアンズタイム　　　　　　　　　12229360パシフィカス　　　　　　　　　　　　11200414トウシヨウボーイ　　　　　　　　　　12213694ビンゴモレロ　　　　　　　　　　　　11301372Roberto                             12406315Kelley's Day                        11300102Northern Dancer                     12408211Pacific Princess                    11100795テスコボーイ　　　　　　　　　　　　12104558ソシアルバターフライ　　　　　　　　11200172デユール　　　　　　　　　　　　　　12202454フラワースウイース　　　　　　　　　100106阿部新生　　　　　　　　　　700330アラキフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　303006千田　幸信　　　　　　　　　　　　　　　　　　　　　　　　　　　000011100000000000000000000000000000000000000000000000000000000000002007000000000000002007000000000000000000000000000000001002000000000000001004000000000000000000000000000000000000000000000000000001000000000000000000000000000000002005000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002002000000000000000004000000000000000000000000000000000000000000000000000001000000000000000000000000002007009
UM42006061419981000651200109272004010419980326イメルエオス　　　　　　　　　　　　ｲﾒﾙｴｵｽ                              Imeru Eos(JPN)                                              0                   05210311201615テンビー　　　　　　　　　　　　　　12240857アラマサスワロー　　　　　　　　　　11401191Caerleon                            12414244Shining Water                       11201221トロメオ　　　　　　　　　　　　　　12228450カネコメスワロー　　　　　　　　　　11300096Nijinsky                            12405309Foreseer                            11403152Kalaglow                            12414243Idle Waters                         11400665Lypheor                             12407248Almagest                            11200219ダイアトム　　　　　　　　　　　　　12216036バンベリードーター　　　　　　　　　200411浅見秀一　　　　　　　　　　700330アラキフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　582006大迫　忍　　　　　　　　　　　　　　　　　　　　　　　　　　　　000167500000000000000000590000000000000015000000000000001006003002003032000004001001001026000000000000000001000003001001000014000001000000001009000000000000000000000000000000000001000000000000000001000000000000000000000003001001001020000000000000000002000001000000000001000000000000000001000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004001001001024000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000009024047
UM12004020219981000661200004132001042019980327ローレルブライド　　　　　　　　　　ﾛｰﾚﾙﾌﾞﾗｲﾄﾞ                          Laurel Bride(JPN)                                           0                   03210311201565ナリタタイシン　　　　　　　　　　　12235025アラマサユウコ　　　　　　　　　　　11201062リヴリア　　　　　　　　　　　　　　12223632タイシンリリイ　　　　　　　　　　　11200405コインドシルバー　　　　　　　　　　12212062ユウコ　　　　　　　　　　　　　　　11400450Riverman                            12405039Dahlia                              11200062ラデイガ　　　　　　　　　　　　　　12200428インターラーケン　　　　　　　　　　11300405Herbager                            12402661Silver Coin                         11100806ニルコス　　　　　　　　　　　　　　12202454フラワースウイース　　　　　　　　　100106阿部新生　　　　　　　　　　700330アラキフアーム　　　　　　　　　　　　　　　　　　　　　　　　　　　　新冠町　　　　　　　032800ローレルレーシング　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001
