05141501
1,プリティワールド,82.87,,54.8,0
2,リンガスアリュール,80.34,,43.9,117
3,コグノセンティ,80.64,,51.8,108
4,ロゼウイナー,83.32,,41.7,88
5,フライバイナイト,81.62,,49.3,96
6,ダイワコンシード,80.70,,45.1,115
7,クラウンシンホニー,81.03,,53.4,102
8,サリーナ,82.73,,49.9,91
9,ラヴピース,82.63,,44.9,101
10,コンフォータブル,82.29,,48.1,0
11,キープレイヤー,81.66,,55.1,0
12,スパイスフェアリー,82.18,,53.1,97
13,サンタレジーナ,80.19,,45.4,116
14,サプライズライン,80.56,,64.7,120
15,ラフィンテール,82.20,,49.8,0
16,パイメイメイ,81.42,,49.2,101
05141502
1,スターシア,88.93,,50.3,
2,タイセイフラッシュ,88.90,,49.5,
3,キズナエンドレス,88.76,,43.7,
4,フクノトリアイナ,88.65,,43.1,
5,レオトリビュート,88.45,,51.4,
6,マッチレスヒーロー,88.41,,43.6,
7,オウコウキバ,88.07,,56.3,
8,ゴールデンスキトマ,88.77,,50.3,
9,トウショウエディタ,88.92,,50.2,
10,サウススターマン,87.59,,61.4,
11,イミラカチャ,88.83,,47.0,
12,ホウショウマージ,89.14,,45.2,
13,キャサリンボーイ,88.56,,46.0,
14,ダイワゴッデス,88.42,,54.5,
15,クィーンオブロー,89.39,,50.1,
16,フローズンロープ,87.58,,57.4,
05141503
1,ジャックポット,99.93,,44.8,111
2,ライトオブホープ,100.51,,50.9,102
3,マイネルシャルフ,101.64,,48.0,96
4,レッドウォーリア,99.48,,48.0,109
5,アスカクイン,100.70,,47.6,99
6,ダノンシュワー,100.53,,55.6,94
7,メローワイン,100.81,,48.7,101
8,ノースショアビーチ,99.74,,59.8,111
9,ベック,100.02,,48.1,127
10,ワビチャ,101.00,,52.2,90
11,プラネットマジック,101.07,,44.2,0
12,リオヴェラ,101.42,,44.7,104
13,ビックナジョーカー,100.42,,58.1,107
14,タマモマズルカ,99.37,,53.1,123
15,フクノゲイボルグ,102.79,,54.5,85
16,ユーガッタフレンド,102.69,,41.8,89
05141504
1,ハナズウェポン,96.05,,50.4,110
2,タカラミッシェル,96.53,,48.5,97
3,ランデックディオサ,96.57,,44.2,92
4,リーサルウェポン,95.24,,60.7,127
5,ナカヤマジョーイ,95.37,,53.6,112
6,コスモラパン,96.31,,48.8,103
7,ショウナンアラン,96.25,,58.5,103
8,マイソウルメイト,95.82,,42.7,98
9,ダイワジャスト,95.60,,45.2,98
10,プロレタリアト,97.08,,53.4,0
11,ブルーロータス,94.80,,61.9,110
12,リュクサンブール,95.40,,48.9,121
13,ムーンドロップ,96.95,,42.4,96
14,サンアンドムーン,96.63,,46.3,92
15,マイネネフリティス,95.63,,48.7,99
16,ピュアパール,96.93,,45.9,0
05141505
1,クインズストーム,109.95,,49.1,115
2,ボールドジュニア,110.71,,37.2,94
3,ウイングオブハーツ,109.41,,53.9,123
4,トウカイエントリー,110.02,,49.5,104
5,レッドシェリール,109.30,,51.6,123
6,パープルセイル,109.47,,53.2,109
7,フジマサレグルス,110.62,,52.3,87
8,レディシャングリラ,109.43,,50.0,111
9,トゥインクル,110.45,,50.7,98
10,ルミナスウォリアー,109.64,,50.0,100
11,テイエムデンコウ,112.44,,48.6,86
12,クイーンラズベリ,110.63,,48.4,92
