順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス, 35- 30- 26-151/242,14.5%,26.9%,37.6%,70,83,78.1,6.4着,5.2人気,25.5,487,223,0,0.0%,12.4%,10.7%,71.05,11.84,60.81
2,サクラバクシンオー, 34- 41- 30-293/398,8.5%,18.8%,26.4%,38,71,64.2,7.4着,6.3人気,36.1,453,272,0,0.0%,10.3%,7.5%,70.67,11.78,61.13
3,フジキセキ, 18- 17- 15-117/167,10.8%,21.0%,29.9%,68,118,100.3,6.8着,6.9人気,47.4,638,395,0,0.0%,10.2%,9.0%,70.79,11.80,61.03
4,タイキシャトル, 13- 13- 14-128/168,7.7%,15.5%,23.8%,46,76,85.4,7.5着,7.6人気,50.1,606,321,0,0.0%,7.7%,8.3%,70.88,11.81,60.95
5,ダンスインザダーク, 12- 13- 12- 86/123,9.8%,20.3%,30.1%,75,131,85.8,6.5着,6.5人気,35.6,771,439,0,0.0%,10.6%,9.8%,71.04,11.84,60.81
6,サクラユタカオー, 10-  3-  5- 25/ 43,23.3%,30.2%,41.9%,296,141,182.5,5.5着,5.8人気,31.8,1274,358,0,0.0%,7.0%,11.6%,71.02,11.84,60.83
7,スウェプトオーヴァーボード, 10-  2-  4- 63/ 79,12.7%,15.2%,20.3%,129,56,158.7,7.7着,7.6人気,48.1,1020,279,0,0.0%,2.5%,5.1%,70.83,11.81,60.99
8,ブライアンズタイム,  9-  7-  5- 67/ 88,10.2%,18.2%,23.9%,66,56,83.7,7.4着,6.3人気,37.3,654,248,0,0.0%,8.0%,5.7%,71.27,11.88,60.61
9,ノーザンテースト,  9-  5-  3- 36/ 53,17.0%,26.4%,32.1%,122,88,117.3,6.7着,6.0人気,25.1,723,276,0,0.0%,9.4%,5.7%,71.46,11.91,60.45
10,スペシャルウィーク,  8- 10-  8- 51/ 77,10.4%,23.4%,33.8%,74,125,79.9,6.5着,6.9人気,39.3,721,373,0,0.0%,13.0%,10.4%,70.89,11.81,60.94
