順位,チェック種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス系, 130- 151- 127-1237/1645,7.9%,17.1%,24.8%,66,86,75.2,7.4着,7.2人気,49.0,845,353,0,0.0%,9.2%,7.7%,70.97,11.83,60.87
2,ミスプロ系,  84-  61-  88- 842/1075,7.8%,13.5%,21.7%,71,73,84.2,7.6着,7.6人気,55.3,918,342,0,0.0%,5.7%,8.2%,71.26,11.88,60.62
3,プリンスリーギフト系,  56-  57-  45- 436/ 594,9.4%,19.0%,26.6%,64,76,78.1,7.2着,6.7人気,41.0,680,290,0,0.0%,9.6%,7.6%,70.91,11.82,60.93
4,ダンチヒ系,  44-  39-  37- 319/ 439,10.0%,18.9%,27.3%,119,99,92.6,6.9着,7.0人気,46.5,1194,372,0,0.0%,8.9%,8.4%,71.06,11.84,60.80
5,リファール系,  34-  22-  35- 315/ 406,8.4%,13.8%,22.4%,112,79,96.3,7.3着,7.9人気,58.4,1349,376,0,0.0%,5.4%,8.6%,71.43,11.91,60.48
6,グレイソヴリン系,  33-  42-  38- 402/ 515,6.4%,14.6%,21.9%,60,78,70.5,7.2着,7.5人気,54.1,949,364,0,0.0%,8.2%,7.4%,71.38,11.90,60.52
7,他のターントゥ系,  33-  38-  36- 371/ 478,6.9%,14.9%,22.4%,69,77,77.8,7.5着,7.7人気,53.0,1004,351,0,0.0%,7.9%,7.5%,71.19,11.86,60.69
8,ニジンスキー系,  33-  34-  31- 368/ 466,7.1%,14.4%,21.0%,67,64,79.6,7.4着,7.9人気,60.0,952,321,0,0.0%,7.3%,6.7%,71.56,11.93,60.37
9,ロベルト系,  28-  37-  25- 374/ 464,6.0%,14.0%,19.4%,96,80,71.8,7.8着,7.8人気,56.0,1603,423,0,0.0%,8.0%,5.4%,71.29,11.88,60.60
10,フォーティナイナー系,  28-  18-  22- 261/ 329,8.5%,14.0%,20.7%,62,80,85.9,7.9着,7.6人気,51.3,732,392,0,0.0%,5.5%,6.7%,70.95,11.82,60.89
11,他のノーザンダンサー系,  24-  29-  24- 250/ 327,7.3%,16.2%,23.5%,86,94,75.4,7.4着,7.4人気,48.3,1182,412,0,0.0%,8.9%,7.3%,71.57,11.93,60.36
12,ネヴァーベンド系,  21-  20-  31- 255/ 327,6.4%,12.5%,22.0%,67,78,76.7,7.1着,7.4人気,51.8,1047,362,0,0.0%,6.1%,9.5%,71.62,11.94,60.32
13,ヴァイスリージェント系,  20-  18-  21- 191/ 250,8.0%,15.2%,23.6%,59,68,75.9,7.2着,7.0人気,46.7,738,301,0,0.0%,7.2%,8.4%,70.98,11.83,60.86
14,ヘロド系,  18-  13-  19- 176/ 226,8.0%,13.7%,22.1%,44,61,79.6,7.5着,7.3人気,45.0,553,298,0,0.0%,5.8%,8.4%,71.66,11.94,60.29
15,ノーザンテースト系,  15-  16-  17- 163/ 211,7.1%,14.7%,22.7%,94,74,77.9,7.5着,7.6人気,52.4,1329,334,0,0.0%,7.6%,8.1%,71.59,11.93,60.35
16,ボールドルーラー系,  15-  16-  11- 168/ 210,7.1%,14.8%,20.0%,37,47,77.8,7.8着,7.6人気,53.3,530,255,0,0.0%,7.6%,5.2%,71.40,11.90,60.50
17,ヌレイエフ系,  14-  10-  14- 159/ 197,7.1%,12.2%,19.3%,83,48,75.2,7.9着,7.4人気,55.3,1179,252,0,0.0%,5.1%,7.1%,71.31,11.88,60.58
18,キングマンボ系,  14-   5-  13- 105/ 137,10.2%,13.9%,23.4%,138,94,120.6,8.1着,8.0人気,57.0,1353,418,0,0.0%,3.6%,9.5%,70.94,11.82,60.90
19,マッチェム系,  12-   8-  10-  82/ 112,10.7%,17.9%,26.8%,233,121,135.8,7.1着,7.6人気,47.7,2182,468,0,0.0%,7.1%,8.9%,70.98,11.83,60.87
20,フェアリーキング系,  11-  14-   5-  88/ 118,9.3%,21.2%,25.4%,62,77,99.2,7.3着,7.2人気,41.5,673,303,0,0.0%,11.9%,4.2%,70.82,11.80,61.00
21,他のネイティヴダンサー系,  10-  16-   9- 118/ 153,6.5%,17.0%,22.9%,72,57,58.7,7.1着,7.4人気,47.2,1103,258,0,0.0%,10.5%,5.9%,71.46,11.91,60.45
22,レッドゴッド系,  10-  14-  12- 139/ 175,5.7%,13.7%,20.6%,42,54,64.2,7.9着,7.6人気,50.9,752,275,0,0.0%,8.0%,6.9%,71.55,11.93,60.38
23,サドラーズウェルズ系,  10-   9-   8-  98/ 125,8.0%,15.2%,21.6%,146,83,88.8,7.8着,8.3人気,71.2,1825,386,0,0.0%,7.2%,6.4%,71.52,11.92,60.41
24,セントサイモン系,   9-  13-  10- 137/ 169,5.3%,13.0%,18.9%,60,83,72.2,7.2着,7.5人気,49.5,1131,443,0,0.0%,7.7%,5.9%,71.87,11.98,60.11
25,ハンプトン系,   9-   8-  11- 106/ 134,6.7%,12.7%,20.9%,47,55,92.1,7.5着,7.6人気,51.2,709,275,0,0.0%,6.0%,8.2%,71.99,12.00,60.01
26,チェック種牡馬無し,   8-  11-  13- 103/ 135,5.9%,14.1%,23.7%,42,84,60.9,7.2着,7.6人気,48.6,718,394,0,0.0%,8.1%,9.6%,71.31,11.88,60.58
27,ストームバード系,   7-  11-  13- 117/ 148,4.7%,12.2%,20.9%,25,73,47.8,7.8着,6.8人気,46.3,531,349,0,0.0%,7.4%,8.8%,71.17,11.86,60.70
