順位,母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,ノーザンテースト, 6- 3- 2-31/42,14.3%,21.4%,26.2%,61,49,121.5,6.5着,6.9人気,47.9,430,188,0,0.0%,7.1%,4.8%,72.22,12.04,59.81
2,トウシヨウボーイ, 5- 2- 3-25/35,14.3%,20.0%,28.6%,310,84,150.2,6.3着,7.5人気,58.1,2170,294,0,0.0%,5.7%,8.6%,72.52,12.09,59.57
3,マルゼンスキー, 4- 1- 1-20/26,15.4%,19.2%,23.1%,78,45,153.8,8.0着,7.8人気,73.3,512,195,0,0.0%,3.8%,3.8%,72.45,12.08,59.63
4,トニービン, 3- 3- 2-15/23,13.0%,26.1%,34.8%,60,112,96.8,6.5着,6.7人気,44.1,463,324,0,0.0%,13.0%,8.7%,72.20,12.03,59.83
5,ブライアンズタイム, 3- 0- 1-18/22,13.6%,13.6%,18.2%,127,35,140.1,7.5着,7.5人気,61.5,937,192,0,0.0%,0.0%,4.5%,72.45,12.08,59.62
6,サンデーサイレンス, 2- 5- 1-28/36,5.6%,19.4%,22.2%,38,40,58.8,7.0着,7.1人気,45.7,695,184,0,0.0%,13.9%,2.8%,71.57,11.93,60.36
7,"Northern Dancer", 2- 1- 0- 2/ 5,40.0%,60.0%,60.0%,314,164,449.2,4.4着,5.8人気,28.7,785,273,0,0.0%,20.0%,0.0%,72.36,12.06,59.70
8,ブレイヴエストローマン, 2- 0- 2- 6/10,20.0%,20.0%,40.0%,67,77,203.1,5.7着,7.1人気,25.7,335,257,0,0.0%,0.0%,20.0%,73.03,12.17,59.15
9,シンボリルドルフ, 2- 0- 2- 5/ 9,22.2%,22.2%,44.4%,105,96,256.6,6.4着,6.4人気,42.3,475,218,0,0.0%,0.0%,22.2%,71.58,11.93,60.35
10,Caerleon, 2- 0- 1- 7/10,20.0%,20.0%,30.0%,176,60,194.4,8.2着,6.3人気,30.8,880,200,0,0.0%,0.0%,10.0%,72.71,12.12,59.41
11,クラウンドプリンス, 2- 0- 0- 2/ 4,50.0%,50.0%,50.0%,267,110,242.2,4.0着,4.5人気,17.4,535,220,0,0.0%,0.0%,0.0%,72.88,12.15,59.28
12,"Private Account", 2- 0- 0- 1/ 3,66.7%,66.7%,66.7%,440,113,364.3,2.0着,3.7人気,6.7,660,170,0,0.0%,0.0%,0.0%,71.53,11.92,60.39
13,エルコンドルパサー, 2- 0- 0- 2/ 4,50.0%,50.0%,50.0%,327,82,565.6,4.5着,7.3人気,96.7,655,165,0,0.0%,0.0%,0.0%,72.13,12.02,59.90
