順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス, 4- 4- 4-16/28,14.3%,28.6%,42.9%,48,66,72.9,6.2着,4.9人気,16.2,338,155,0,0.0%,14.3%,14.3%,72.38,12.06,59.68
2,トニービン, 4- 3- 0-15/22,18.2%,31.8%,31.8%,37,60,106.4,6.5着,6.0人気,45.1,208,191,0,0.0%,13.6%,0.0%,72.30,12.05,59.75
3,スキャン, 4- 2- 0- 7/13,30.8%,46.2%,46.2%,226,119,337.7,5.3着,6.9人気,59.0,735,258,0,0.0%,15.4%,0.0%,72.25,12.04,59.80
4,ダンスインザダーク, 2- 1- 1-13/17,11.8%,17.6%,23.5%,118,39,90.0,7.9着,6.2人気,38.6,1005,168,0,0.0%,5.9%,5.9%,72.37,12.06,59.69
5,ロイヤルアカデミー2, 2- 1- 0- 4/ 7,28.6%,42.9%,42.9%,170,68,171.8,5.1着,6.1人気,36.4,595,160,0,0.0%,14.3%,0.0%,72.00,12.00,60.00
6,ブライアンズタイム, 2- 0- 5- 6/13,15.4%,15.4%,53.8%,64,85,86.7,5.1着,4.1人気,15.6,420,185,0,0.0%,0.0%,38.5%,71.84,11.97,60.13
7,アンバーシヤダイ, 2- 0- 2-16/20,10.0%,10.0%,20.0%,38,26,84.2,7.4着,6.9人気,39.5,380,132,0,0.0%,0.0%,10.0%,72.34,12.06,59.72
8,カーネギー, 2- 0- 0- 5/ 7,28.6%,28.6%,28.6%,188,48,251.4,5.9着,5.4人気,56.3,660,170,0,0.0%,0.0%,0.0%,72.86,12.14,59.29
9,ヘクタープロテクター, 2- 0- 0- 6/ 8,25.0%,25.0%,25.0%,192,67,184.9,5.9着,8.3人気,54.2,770,270,0,0.0%,0.0%,0.0%,72.00,12.00,60.00
10,サニーブライアン, 2- 0- 0- 1/ 3,66.7%,66.7%,66.7%,370,126,179.9,2.3着,2.3人気,4.8,555,190,0,0.0%,0.0%,0.0%,71.10,11.85,60.76
