順位,母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス, 59- 69- 60-559/747,7.9%,17.1%,25.2%,76,70,67.9,7.1着,6.5人気,49.0,975,282,0,0.0%,9.2%,8.0%,115.49,12.83,56.11
2,ノーザンテースト, 58- 48- 61-521/688,8.4%,15.4%,24.3%,67,77,82.6,6.9着,7.1人気,54.0,799,321,0,0.0%,7.0%,8.9%,116.08,12.90,55.82
3,マルゼンスキー, 40- 58- 42-316/456,8.8%,21.5%,30.7%,88,112,78.9,6.7着,6.7人気,47.1,1013,366,0,0.0%,12.7%,9.2%,115.92,12.88,55.90
4,ブライアンズタイム, 29- 23- 24-313/389,7.5%,13.4%,19.5%,58,47,77.2,7.2着,7.2人気,66.6,782,245,0,0.0%,5.9%,6.2%,115.27,12.81,56.22
5,トニービン, 29- 19- 23-242/313,9.3%,15.3%,22.7%,39,58,82.3,7.3着,7.4人気,68.4,421,257,0,0.0%,6.1%,7.3%,115.95,12.88,55.88
6,"Mr. Prospector", 23- 11- 10-102/146,15.8%,23.3%,30.1%,112,87,115.7,6.7着,6.2人気,42.7,713,291,0,0.0%,7.5%,6.8%,115.38,12.82,56.16
7,テスコボーイ, 22- 17- 21-141/201,10.9%,19.4%,29.9%,58,75,103.2,6.4着,6.6人気,32.5,535,262,0,0.0%,8.5%,10.4%,116.80,12.98,55.48
8,トウシヨウボーイ, 21- 23- 22-245/311,6.8%,14.1%,21.2%,41,65,66.8,7.2着,7.2人気,54.7,608,315,0,0.0%,7.4%,7.1%,116.51,12.95,55.62
9,ブレイヴエストローマン, 21- 15- 16-155/207,10.1%,17.4%,25.1%,74,69,92.8,7.3着,7.3人気,56.9,730,275,0,0.0%,7.2%,7.7%,116.00,12.89,55.86
10,リアルシヤダイ, 17- 21- 16-199/253,6.7%,15.0%,21.3%,144,76,74.7,7.3着,7.7人気,67.5,2152,357,0,0.0%,8.3%,6.3%,116.11,12.90,55.81
11,フジキセキ, 17- 11- 13-134/175,9.7%,16.0%,23.4%,103,82,112.5,7.8着,7.7人気,75.2,1068,351,0,0.0%,6.3%,7.4%,115.99,12.89,55.87
12,アローエクスプレス, 16- 14- 12-124/166,9.6%,18.1%,25.3%,44,90,89.4,6.9着,7.0人気,37.6,460,366,0,0.0%,8.4%,7.2%,116.87,12.99,55.45
13,Danzig, 16-  9- 13-115/153,10.5%,16.3%,24.8%,174,69,85.9,7.0着,6.9人気,54.2,1672,280,0,0.0%,5.9%,8.5%,115.57,12.84,56.07
14,"Deputy Minister", 16-  8- 12- 63/ 99,16.2%,24.2%,36.4%,109,81,129.1,6.1着,5.9人気,35.7,676,224,0,0.0%,8.1%,12.1%,114.84,12.76,56.42
15,ミルジヨージ, 15-  7- 22-175/219,6.8%,10.0%,20.1%,59,52,86.1,7.2着,7.4人気,51.3,875,268,0,0.0%,3.2%,10.0%,115.77,12.86,55.97
16,ノーザリー, 14- 14- 14- 93/135,10.4%,20.7%,31.1%,65,99,95.1,6.4着,6.8人気,43.1,629,334,0,0.0%,10.4%,10.4%,116.37,12.93,55.68
17,フレンチデピュティ, 14- 12- 14-113/153,9.2%,17.0%,26.1%,123,95,98.1,7.3着,7.6人気,64.2,1351,365,0,0.0%,7.8%,9.2%,115.26,12.81,56.22
18,ネヴアービート, 14- 12-  8-122/156,9.0%,16.7%,21.8%,109,69,92.4,6.8着,7.4人気,34.7,1219,321,0,0.0%,7.7%,5.1%,116.87,12.99,55.44
19,シルバーシヤーク, 14- 12-  7- 75/108,13.0%,24.1%,30.6%,78,73,109.6,5.8着,6.8人気,34.3,602,240,0,0.0%,11.1%,6.5%,115.96,12.88,55.88
20,"Seeking the Gold", 14- 11-  5- 64/ 94,14.9%,26.6%,31.9%,403,155,118.4,6.5着,7.0人気,58.5,2711,486,0,0.0%,11.7%,5.3%,114.99,12.78,56.35
