順位,母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス, 26- 12- 17-140/195,13.3%,19.5%,28.2%,87,81,108.2,7.1着,6.5人気,51.5,655,289,0,0.0%,6.2%,8.7%,114.43,12.71,56.63
2,ノーザンテースト, 12-  7-  6- 90/115,10.4%,16.5%,21.7%,197,62,107.6,7.1着,7.2人気,57.2,1895,290,0,0.0%,6.1%,5.2%,114.91,12.77,56.39
3,マルゼンスキー, 12-  3- 10- 55/ 80,15.0%,18.8%,31.3%,114,62,91.2,6.2着,5.6人気,31.7,766,199,0,0.0%,3.8%,12.5%,114.99,12.78,56.35
4,"Deputy Minister",  6-  2-  1- 16/ 25,24.0%,32.0%,36.0%,470,118,218.1,7.2着,7.4人気,60.1,1958,330,0,0.0%,8.0%,4.0%,114.16,12.68,56.76
5,ブライアンズタイム,  5-  5-  9- 84/103,4.9%,9.7%,18.4%,13,38,54.6,8.0着,7.0人気,56.0,284,208,0,0.0%,4.9%,8.7%,114.31,12.70,56.69
6,アフリート,  5-  3-  1- 30/ 39,12.8%,20.5%,23.1%,36,37,99.0,7.1着,6.7人気,68.9,288,162,0,0.0%,7.7%,2.6%,114.02,12.67,56.83
7,フレンチデピュティ,  5-  2-  3- 31/ 41,12.2%,17.1%,24.4%,56,78,129.8,8.0着,7.7人気,60.8,462,322,0,0.0%,4.9%,7.3%,114.99,12.78,56.35
8,モガミ,  5-  1-  1- 19/ 26,19.2%,23.1%,26.9%,75,51,144.4,5.6着,5.6人気,38.0,392,190,0,0.0%,3.8%,3.8%,115.34,12.82,56.18
9,トニービン,  4-  5-  9- 39/ 57,7.0%,15.8%,31.6%,244,142,74.3,6.7着,7.3人気,50.8,3478,451,0,0.0%,8.8%,15.8%,114.33,12.70,56.68
10,トウシヨウボーイ,  4-  5-  9- 50/ 68,5.9%,13.2%,26.5%,40,92,75.7,6.8着,6.8人気,45.9,692,349,0,0.0%,7.4%,13.2%,115.50,12.83,56.10
11,ノーザリー,  4-  4-  2- 17/ 27,14.8%,29.6%,37.0%,87,75,107.9,6.0着,6.5人気,50.6,588,203,0,0.0%,14.8%,7.4%,115.38,12.82,56.16
12,リイフオー,  4-  3-  2- 11/ 20,20.0%,35.0%,45.0%,44,72,104.1,5.4着,5.4人気,33.6,222,161,0,0.0%,15.0%,10.0%,114.93,12.77,56.38
13,ブレイヴエストローマン,  4-  2-  5- 23/ 34,11.8%,17.6%,32.4%,590,202,162.0,5.7着,7.1人気,46.4,5020,625,0,0.0%,5.9%,14.7%,115.61,12.85,56.05
14,シヤトーゲイ,  4-  2-  4- 20/ 30,13.3%,20.0%,33.3%,63,71,88.7,5.4着,5.7人気,29.7,475,214,0,0.0%,6.7%,13.3%,114.44,12.72,56.62
15,チヤイナロツク,  4-  1-  3- 15/ 23,17.4%,21.7%,34.8%,113,68,129.3,5.8着,6.0人気,28.3,650,196,0,0.0%,4.3%,13.0%,114.83,12.76,56.43
16,ドン,  4-  1-  0- 12/ 17,23.5%,29.4%,29.4%,40,39,112.6,6.9着,7.1人気,45.1,170,134,0,0.0%,5.9%,0.0%,115.44,12.83,56.14
17,バブルガムフェロー,  4-  1-  0- 11/ 16,25.0%,31.3%,31.3%,280,75,238.5,6.7着,7.3人気,52.9,1120,242,0,0.0%,6.3%,0.0%,114.21,12.69,56.74
18,"A.P. Indy",  4-  0-  1-  8/ 13,30.8%,30.8%,38.5%,149,56,183.1,6.3着,5.4人気,37.9,485,148,0,0.0%,0.0%,7.7%,113.97,12.66,56.86
19,ネヴアービート,  3-  5-  1- 26/ 35,8.6%,22.9%,25.7%,22,49,73.0,6.7着,7.0人気,26.6,267,191,0,0.0%,14.3%,2.9%,114.90,12.77,56.40
20,フォーティナイナー,  3-  4-  3- 26/ 36,8.3%,19.4%,27.8%,103,188,117.1,7.9着,9.3人気,120.2,1237,679,0,0.0%,11.1%,8.3%,115.59,12.84,56.06
21,ラツキーソブリン,  3-  3-  4- 25/ 35,8.6%,17.1%,28.6%,157,73,103.0,7.0着,7.7人気,77.7,1837,257,0,0.0%,8.6%,11.4%,115.51,12.83,56.10
22,"Sadler's Wells",  3-  2-  3- 20/ 28,10.7%,17.9%,28.6%,20,45,82.5,6.9着,7.3人気,58.2,187,159,0,0.0%,7.1%,10.7%,114.73,12.75,56.48
23,"Mr. Prospector",  3-  2-  2- 23/ 30,10.0%,16.7%,23.3%,41,45,118.4,7.7着,7.0人気,43.1,417,194,0,0.0%,6.7%,6.7%,114.55,12.73,56.57
24,ラムタラ,  3-  2-  2- 24/ 31,9.7%,16.1%,22.6%,33,56,128.1,8.3着,8.0人気,68.2,343,249,0,0.0%,6.5%,6.5%,115.02,12.78,56.34
25,アンバーシヤダイ,  3-  1-  2- 21/ 27,11.1%,14.8%,22.2%,60,57,146.9,6.4着,7.1人気,45.6,543,260,0,0.0%,3.7%,7.4%,114.48,12.72,56.60
26,ロムルス,  3-  1-  2-  4/ 10,30.0%,40.0%,60.0%,492,207,513.4,4.9着,7.9人気,40.6,1640,345,0,0.0%,10.0%,20.0%,114.86,12.76,56.42
27,Gulch,  3-  1-  1-  7/ 12,25.0%,33.3%,41.7%,125,70,156.1,5.8着,5.5人気,41.4,503,168,0,0.0%,8.3%,8.3%,114.44,12.72,56.62
28,パーソロン,  3-  1-  1- 34/ 39,7.7%,10.3%,12.8%,74,35,66.8,7.3着,6.6人気,29.7,967,278,0,0.0%,2.6%,2.6%,116.17,12.91,55.78
29,Halo,  3-  0-  2-  9/ 14,21.4%,21.4%,35.7%,337,95,127.0,5.2着,4.8人気,18.9,1573,268,0,0.0%,0.0%,14.3%,113.93,12.66,56.88
30,Nijinsky,  3-  0-  1- 12/ 16,18.8%,18.8%,25.0%,122,58,203.6,7.0着,6.9人気,55.5,653,235,0,0.0%,0.0%,6.3%,115.41,12.82,56.15
31,Danzig,  2-  5-  2- 19/ 28,7.1%,25.0%,32.1%,39,56,46.2,7.5着,6.8人気,58.7,555,177,0,0.0%,17.9%,7.1%,114.39,12.71,56.65
32,フジキセキ,  2-  4-  5- 32/ 43,4.7%,14.0%,25.6%,65,113,68.1,7.7着,8.5人気,80.4,1410,445,0,0.0%,9.3%,11.6%,114.80,12.76,56.44
33,ステイールハート,  2-  3-  5- 12/ 22,9.1%,22.7%,45.5%,47,95,101.7,6.4着,7.0人気,32.7,525,211,0,0.0%,13.6%,22.7%,114.86,12.76,56.42
34,"Wild Again",  2-  3-  3-  2/ 10,20.0%,50.0%,80.0%,131,177,116.8,3.4着,3.3人気,11.2,655,221,0,0.0%,30.0%,30.0%,111.98,12.44,57.87
35,ロイヤルスキー,  2-  3-  2- 19/ 26,7.7%,19.2%,26.9%,28,43,52.8,7.0着,5.9人気,40.8,370,163,0,0.0%,11.5%,7.7%,115.58,12.84,56.06
36,タイテエム,  2-  3-  0- 11/ 16,12.5%,31.3%,31.3%,93,50,105.8,5.7着,6.1人気,31.9,750,160,0,0.0%,18.8%,0.0%,116.16,12.91,55.79
