順位,チェック母父馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス系, 41- 27- 40-326/434,9.4%,15.7%,24.9%,64,73,94.7,7.5着,7.3人気,62.9,687,295,0,0.0%,6.2%,9.2%,114.67,12.74,56.51
2,チェック母父馬無し, 39- 47- 49-381/516,7.6%,16.7%,26.2%,42,67,67.7,6.8着,6.7人気,34.7,566,262,0,0.0%,9.1%,9.5%,115.17,12.80,56.26
3,ニジンスキー系, 33- 28- 26-251/338,9.8%,18.0%,25.7%,118,64,81.7,7.0着,6.7人気,52.1,1212,252,0,0.0%,8.3%,7.7%,115.05,12.78,56.33
4,ハンプトン系, 33- 27- 30-254/344,9.6%,17.4%,26.2%,117,71,85.7,6.6着,6.7人気,40.3,1224,280,0,0.0%,7.8%,8.7%,115.16,12.80,56.27
5,ミスプロ系, 32- 39- 27-318/416,7.7%,17.1%,23.6%,56,83,81.6,7.6着,7.6人気,69.6,729,356,0,0.0%,9.4%,6.5%,114.72,12.75,56.48
6,セントサイモン系, 32- 32- 27-237/328,9.8%,19.5%,27.7%,120,70,103.3,6.7着,7.1人気,41.5,1235,259,0,0.0%,9.8%,8.2%,115.31,12.81,56.20
7,グレイソヴリン系, 21- 20- 24-188/253,8.3%,16.2%,25.7%,88,75,73.9,7.1着,7.1人気,49.2,1066,299,0,0.0%,7.9%,9.5%,114.99,12.78,56.35
8,ボールドルーラー系, 19- 18- 15-141/193,9.8%,19.2%,26.9%,99,72,84.8,6.8着,6.9人気,52.7,1008,270,0,0.0%,9.3%,7.8%,114.92,12.77,56.38
9,他のターントゥ系, 19- 14- 25-154/212,9.0%,15.6%,27.4%,113,95,96.9,6.9着,7.4人気,57.1,1269,348,0,0.0%,6.6%,11.8%,114.82,12.76,56.44
10,他のノーザンダンサー系, 17- 15- 15-164/211,8.1%,15.2%,22.3%,54,59,85.4,6.8着,7.1人気,55.9,681,268,0,0.0%,7.1%,7.1%,115.08,12.79,56.31
11,ノーザンテースト系, 16-  9-  8-142/175,9.1%,14.3%,18.9%,153,55,107.5,7.1着,7.5人気,62.3,1679,295,0,0.0%,5.1%,4.6%,114.85,12.76,56.42
12,リファール系, 15- 13- 18-147/193,7.8%,14.5%,23.8%,42,140,80.4,7.1着,7.1人気,57.9,543,588,0,0.0%,6.7%,9.3%,114.90,12.77,56.40
13,ヴァイスリージェント系, 15- 11-  9- 98/133,11.3%,19.5%,26.3%,111,72,99.0,7.5着,7.1人気,57.8,990,275,0,0.0%,8.3%,6.8%,115.01,12.78,56.34
