順位,チェック種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
1,サンデーサイレンス系, 72- 82- 62-720/936,7.7%,16.5%,23.1%,94,71,75.9,7.6着,7.3人気,60.4,1226,309,0,0.0%,8.8%,6.6%,114.84,12.76,56.42
2,ミスプロ系, 53- 41- 40-368/502,10.6%,18.7%,26.7%,111,82,92.8,6.9着,6.9人気,57.2,1057,308,0,0.0%,8.2%,8.0%,114.55,12.73,56.57
3,ハンプトン系, 30- 19- 21-198/268,11.2%,18.3%,26.1%,165,88,111.3,6.3着,6.8人気,36.6,1480,345,0,0.0%,7.1%,7.8%,114.90,12.77,56.40
4,ロベルト系, 28- 27- 31-282/368,7.6%,14.9%,23.4%,51,82,79.1,7.3着,7.5人気,65.6,679,358,0,0.0%,7.3%,8.4%,114.79,12.75,56.45
5,ニジンスキー系, 28- 23- 30-256/337,8.3%,15.1%,24.0%,83,62,88.4,7.1着,7.1人気,45.1,1003,265,0,0.0%,6.8%,8.9%,115.54,12.84,56.09
6,キングマンボ系, 20- 10- 14-139/183,10.9%,16.4%,24.0%,142,80,116.5,7.3着,7.5人気,65.6,1300,335,0,0.0%,5.5%,7.7%,114.57,12.73,56.56
7,ヴァイスリージェント系, 18- 18- 13-127/176,10.2%,20.5%,27.8%,60,67,80.7,7.0着,6.5人気,53.1,590,243,0,0.0%,10.2%,7.4%,114.47,12.72,56.61
8,他のノーザンダンサー系, 17- 11- 16-161/205,8.3%,13.7%,21.5%,49,44,78.1,6.8着,6.5人気,34.6,598,207,0,0.0%,5.4%,7.8%,115.13,12.79,56.28
9,リファール系, 16- 21- 16-180/233,6.9%,15.9%,22.7%,25,46,69.0,7.1着,7.0人気,49.5,378,205,0,0.0%,9.0%,6.9%,115.06,12.78,56.32
10,プリンスリーギフト系, 16- 12- 16-116/160,10.0%,17.5%,27.5%,120,71,101.9,6.9着,7.0人気,40.9,1203,260,0,0.0%,7.5%,10.0%,115.70,12.86,56.01
11,チェック種牡馬無し, 15- 21- 19-190/245,6.1%,14.7%,22.4%,41,108,53.6,7.2着,6.9人気,39.5,675,500,0,0.0%,8.6%,7.8%,115.52,12.84,56.09
12,他のターントゥ系, 13- 13- 10-163/199,6.5%,13.1%,18.1%,72,80,63.5,7.6着,8.0人気,64.3,1115,444,0,0.0%,6.5%,5.0%,115.12,12.79,56.29
13,ネヴァーベンド系, 12- 11- 13-128/164,7.3%,14.0%,22.0%,62,48,67.8,6.4着,6.8人気,38.6,848,227,0,0.0%,6.7%,7.9%,115.20,12.80,56.25
14,サドラーズウェルズ系, 12-  7- 13- 81/113,10.6%,16.8%,28.3%,165,101,136.5,7.1着,7.9人気,81.4,1562,358,0,0.0%,6.2%,11.5%,115.45,12.83,56.13
15,グレイソヴリン系, 11- 17- 17-177/222,5.0%,12.6%,20.3%,26,49,52.9,7.6着,7.2人気,53.7,535,243,0,0.0%,7.7%,7.7%,115.31,12.81,56.20
16,ボールドルーラー系, 11- 14- 16-113/154,7.1%,16.2%,26.6%,36,67,81.8,7.0着,7.4人気,49.7,506,260,0,0.0%,9.1%,10.4%,114.84,12.76,56.43
17,ダンチヒ系, 10-  7-  5-103/125,8.0%,13.6%,17.6%,41,32,81.0,7.1着,6.9人気,59.7,523,186,0,0.0%,5.6%,4.0%,114.79,12.75,56.45
18,セントサイモン系,  9- 17-  6-113/145,6.2%,17.9%,22.1%,51,50,66.4,6.9着,7.4人気,44.2,823,228,0,0.0%,11.7%,4.1%,115.17,12.80,56.26
19,フォーティナイナー系,  9-  7- 12- 96/124,7.3%,12.9%,22.6%,67,87,101.8,8.0着,8.3人気,83.2,928,387,0,0.0%,5.6%,9.7%,114.67,12.74,56.51
20,ヘロド系,  7- 11-  9- 90/117,6.0%,15.4%,23.1%,19,58,68.4,6.8着,7.1人気,48.9,330,264,0,0.0%,9.4%,7.7%,115.91,12.88,55.90
21,レッドゴッド系,  7-  6- 15- 62/ 90,7.8%,14.4%,31.1%,47,91,82.1,6.6着,6.7人気,62.8,607,304,0,0.0%,6.7%,16.7%,115.28,12.81,56.21
22,ノーザンテースト系,  5- 14-  9- 86/114,4.4%,16.7%,24.6%,26,74,38.9,6.5着,6.7人気,40.7,604,313,0,0.0%,12.3%,7.9%,115.17,12.80,56.27
23,ストームバード系,  5-  7- 10- 61/ 83,6.0%,14.5%,26.5%,36,52,54.7,6.9着,7.1人気,74.0,604,208,0,0.0%,8.4%,12.0%,114.61,12.73,56.54
24,ヌレイエフ系,  4-  8-  7- 33/ 52,7.7%,23.1%,36.5%,41,88,61.1,6.8着,7.0人気,59.6,542,242,0,0.0%,15.4%,13.5%,115.46,12.83,56.12
25,ディープインパクト系,  3-  4-  6- 29/ 42,7.1%,16.7%,31.0%,21,75,58.2,6.8着,5.6人気,25.8,297,245,0,0.0%,9.5%,14.3%,114.45,12.72,56.62
26,マッチェム系,  3-  3-  2- 22/ 30,10.0%,20.0%,26.7%,20,48,76.9,6.8着,6.2人気,29.7,203,182,0,0.0%,10.0%,6.7%,115.96,12.88,55.88
27,テディ系,  3-  0-  5- 29/ 37,8.1%,8.1%,21.6%,193,75,101.0,7.5着,7.8人気,69.3,2387,350,0,0.0%,0.0%,13.5%,115.44,12.83,56.14
28,他のネイティヴダンサー系,  2-  6-  6- 69/ 83,2.4%,9.6%,16.9%,44,49,22.7,7.0着,6.8人気,40.0,1830,294,0,0.0%,7.2%,7.2%,115.26,12.81,56.22
29,トップサイダー系,  1-  4-  4- 28/ 37,2.7%,13.5%,24.3%,9,95,33.5,7.7着,8.3人気,82.0,360,394,0,0.0%,10.8%,10.8%,115.04,12.78,56.33
30,フェアリーキング系,  1-  0-  1- 23/ 25,4.0%,4.0%,8.0%,10,12,74.2,9.2着,9.1人気,98.3,260,160,0,0.0%,0.0%,4.0%,115.76,12.86,55.98
31,"チェック種牡馬 Type [99]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
32,"チェック種牡馬 Type [98]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
33,"チェック種牡馬 Type [97]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
34,"チェック種牡馬 Type [96]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
35,"チェック種牡馬 Type [95]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
36,"チェック種牡馬 Type [94]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
37,"チェック種牡馬 Type [93]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
38,"チェック種牡馬 Type [92]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
39,"チェック種牡馬 Type [91]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
40,"チェック種牡馬 Type [90]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
41,"チェック種牡馬 Type [89]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
42,"チェック種牡馬 Type [88]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
43,"チェック種牡馬 Type [87]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
44,"チェック種牡馬 Type [86]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
45,"チェック種牡馬 Type [85]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
46,"チェック種牡馬 Type [84]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
47,"チェック種牡馬 Type [83]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
48,"チェック種牡馬 Type [82]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
49,"チェック種牡馬 Type [81]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
50,"チェック種牡馬 Type [80]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
51,"チェック種牡馬 Type [79]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
52,"チェック種牡馬 Type [78]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
53,"チェック種牡馬 Type [77]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
54,"チェック種牡馬 Type [76]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
55,"チェック種牡馬 Type [75]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
56,"チェック種牡馬 Type [74]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
57,"チェック種牡馬 Type [73]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
58,"チェック種牡馬 Type [72]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
59,"チェック種牡馬 Type [71]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
60,"チェック種牡馬 Type [70]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
61,"チェック種牡馬 Type [69]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
62,"チェック種牡馬 Type [68]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
63,"チェック種牡馬 Type [67]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
64,"チェック種牡馬 Type [66]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
65,"チェック種牡馬 Type [65]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
66,"チェック種牡馬 Type [64]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
67,"チェック種牡馬 Type [63]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
68,"チェック種牡馬 Type [62]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
69,"チェック種牡馬 Type [61]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
70,"チェック種牡馬 Type [60]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
71,"チェック種牡馬 Type [59]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
72,"チェック種牡馬 Type [58]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
73,"チェック種牡馬 Type [57]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
74,"チェック種牡馬 Type [56]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
75,"チェック種牡馬 Type [55]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
76,"チェック種牡馬 Type [54]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
77,"チェック種牡馬 Type [53]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
78,"チェック種牡馬 Type [52]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
79,"チェック種牡馬 Type [51]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
80,"チェック種牡馬 Type [50]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
81,"チェック種牡馬 Type [49]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
82,"チェック種牡馬 Type [48]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
83,"チェック種牡馬 Type [47]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
84,"チェック種牡馬 Type [46]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
85,"チェック種牡馬 Type [45]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
86,"チェック種牡馬 Type [44]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
87,"チェック種牡馬 Type [43]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
88,"チェック種牡馬 Type [42]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
89,"チェック種牡馬 Type [41]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
90,"チェック種牡馬 Type [40]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
91,"チェック種牡馬 Type [39]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
92,"チェック種牡馬 Type [38]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
93,"チェック種牡馬 Type [37]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
94,"チェック種牡馬 Type [36]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
95,"チェック種牡馬 Type [35]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
96,"チェック種牡馬 Type [34]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
97,"チェック種牡馬 Type [33]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
98,"チェック種牡馬 Type [32]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
99,"チェック種牡馬 Type [31]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
100,"チェック種牡馬 Type [30]",  0-  0-  0-  0/  0,,,,,,,,,,,,,,,,,,
